R4301J97R04O* C1997 09 08.01989 23 04 12.73 -01 35 52.0          20.3 Vz30625910
R4301J97R04O  C1997 09 08.03245 23 04 12.14 -01 35 59.6          20.2 Vz30625910
R4301J97R04O  C1997 09 08.04505 23 04 11.54 -01 36 07.1          20.4 Vz30625910
R4301J97R04O  C1997 09 08.93293 23 03 31.32 -01 44 57.8          20.8 Vz30625910
R4301J97R04O  C1997 09 08.95575 23 03 30.22 -01 45 11.5          21.0 Vz30625910
R4301J97R04O  C1997 09 08.97852 23 03 29.14 -01 45 25.1          20.7 Vz30625910
R4301K07F34K* C2007 03 25.29675 12 06 15.84 -00 52 00.4          20.2 Vru5637G96
R4301K07F34K  C2007 03 25.30406 12 06 15.44 -00 51 56.2          20.1 Vru5637G96
R4301K07F34K  C2007 03 25.31130 12 06 15.08 -00 51 52.3          20.2 Vru5637G96
R4301K07F34K  C2007 03 25.31846 12 06 14.65 -00 51 48.8          20.4 Vru5637G96
R4301K07F34K  C2007 03 26.19366 12 05 28.63 -00 44 27.0          20.7 Vou5637691
R4301K07F34K  C2007 03 26.21125 12 05 27.68 -00 44 17.2          20.3 Vou5637691
R4301K07F34K  C2007 03 26.22884 12 05 26.73 -00 44 08.4          20.4 Vou5637691
R4301K08Q24H  C2007 04 07.26440 11 55 17.72 +00 54 08.6          20.4 Vrz6803G96
R4301K08Q24H  C2007 04 07.27071 11 55 17.40 +00 54 11.7          20.4 Vrz6803G96
R4301K08Q24H  C2007 04 07.27704 11 55 17.07 +00 54 14.8          20.4 Vrz6803G96
R4301K08Q24H  C2007 04 07.28337 11 55 16.78 +00 54 17.6          20.4 Vrz6803G96
R4301K08Q24H* C2008 08 25.94983 22 46 41.74 -01 32 16.9          18.8 Vcz5266A50
R4301K08Q24H  C2008 08 25.95118 22 46 41.63 -01 32 18.2          19.0 Vcz5267A50
R4301K08Q24H  C2008 08 25.95253 22 46 41.59 -01 32 17.9          19.3 Vcz5267A50
R4301K08Q24H  C2008 08 25.99104 22 46 39.83 -01 32 38.3          18.0 Vcz5267A50
R4301K08Q24H  C2008 08 26.93304 22 45 58.04 -01 41 06.6          18.9 Vcz5267A50
R4301K08Q24H  C2008 08 26.93441 22 45 57.97 -01 41 08.2          18.8 Vcz5267A50
R4301K08Q24H  C2008 08 26.93576 22 45 57.87 -01 41 08.7          19.0 Vcz5267A50
R4301K08Q24H  C2008 09 06.97528 22 37 37.22 -03 26 43.9          17.7 Vcz5948A50
R4301K08Q24H  C2008 09 06.97758 22 37 37.16 -03 26 45.7          17.7 Vcz5948A50
R4301K08Q24H  C2008 09 06.97988 22 37 37.00 -03 26 47.3          17.9 Vcz5948A50
R4301K08Q24H  C2008 09 06.98218 22 37 36.93 -03 26 48.6          17.9 Vcz5948A50
R4301K08Q24H  C2008 09 06.98449 22 37 36.85 -03 26 49.3          18.0 Vcz5948A50
R4301K08Q24H  C2008 09 07.29626 22 37 23.12 -03 29 49.9          18.6 Vrz5948703
R4301K08Q24H  C2008 09 07.30272 22 37 22.90 -03 29 55.0          18.8 Vrz5948703
R4301K08Q24H  C2008 09 07.30920 22 37 22.62 -03 29 58.6          18.6 Vrz5948703
R4301K08Q24H  C2008 09 07.31571 22 37 22.22 -03 30 01.7          19.2 Vrz5948703
R4301K08Q24H  C2008 09 09.27200 22 35 57.37 -03 49 16.7          19.1 Vrz6803G96
R4301K08Q24H  C2008 09 09.27836 22 35 57.08 -03 49 20.6          19.0 Vrz6803G96
R4301K08Q24H  C2008 09 09.28472 22 35 56.79 -03 49 24.2          19.1 Vrz6803G96
R4301K08Q24H  C2008 09 09.29112 22 35 56.50 -03 49 28.1          19.1 Vrz6803G96
R4301K08Q24H  C2008 09 09.33808 22 35 54.38 -03 49 55.3          18.6 Vrz6803G96
R4301K08Q24H  C2008 09 09.33896 22 35 54.34 -03 49 55.9          18.6 Vrz6803G96
R4301K08Q24H  C2008 09 09.34693 22 35 53.98 -03 50 00.5          18.5 Vrz6803G96
R4301K08Q24H  C2008 09 09.34781 22 35 53.91 -03 50 00.9          18.4 Vrz6803G96
R4301K08Q24H  C2008 09 09.35579 22 35 53.55 -03 50 05.6          18.5 Vrz6803G96
R4301K08Q24H  C2008 09 09.35667 22 35 53.52 -03 50 06.3          18.5 Vrz6803G96
R4301K08Q24H  C2008 09 09.36466 22 35 53.16 -03 50 11.0          18.8 Vrz6803G96
R4301K08Q24H  C2008 09 19.24750 22 29 36.81 -05 24 06.6                oz6803691
R4301K08Q24H  C2008 09 19.26459 22 29 36.20 -05 24 15.5                oz6803691
R4301K08Q24H  C2008 09 19.28169 22 29 35.59 -05 24 23.5                oz6803691
R4301K08Q24H  C2008 09 25.12016 22 26 51.20 -06 14 37.4          19.6 Voz8048691
R4301K08Q24H  C2008 09 25.14120 22 26 50.66 -06 14 47.7          19.5 Voz8048691
R4301K08Q24H  C2008 09 25.16223 22 26 50.09 -06 14 58.1          19.5 Voz8048691
R4301K08Q24H  C2008 10 21.17432 22 26 38.94 -08 34 04.1          19.8 Vr~00AhG96
R4301K08Q24H  C2008 10 21.17929 22 26 39.04 -08 34 04.8          19.9 Vr~00AhG96
