R4301J97R04O* C1997 09 08.01989 23 04 12.73 -01 35 52.0          20.3 Vz30625910
R4301K08Q24H  C2008 10 21.18426 22 26 39.15 -08 34 05.4          19.9 Vr~00AhG96
R4301K08Q24H  C2008 10 21.18983 22 26 39.30 -08 34 06.3          19.6 Vr~00AhG96
R4301K08Q24H  C2008 10 31.13190 22 31 52.19 -08 46 27.1          19.7 Co~07IB704
R4301K08Q24H  C2008 10 31.14371 22 31 52.69 -08 46 27.8          19.8 Co~07IB704
R4301K08Q24H  C2008 10 31.15549 22 31 53.23 -08 46 26.3          19.8 Co~07IB704
R4301K08Q24H  C2008 10 31.16727 22 31 53.57 -08 46 25.5          19.0 Co~07IB704
R4301K08Q24H  C2008 11 24.06463 22 54 00.03 -07 53 58.3          20.8 Vr~01gUG96
R4301K08Q24H  C2008 11 24.07122 22 54 00.46 -07 53 56.7          21.0 Vr~01gUG96
R4301K08Q24H  C2008 11 24.07786 22 54 00.86 -07 53 55.2          20.8 Vr~01gUG96
R4301K08Q24H  C2008 11 24.08455 22 54 01.33 -07 53 53.0          21.2 Vr~01gUG96
R4301K08Q24H  C2010 01 13.23964 08 00 32.90 +10 40 38.8          20.3 Vr~0D54G96
R4301K08Q24H  C2010 01 13.24551 08 00 32.50 +10 40 40.0          20.5 Vr~0D54G96
R4301K08Q24H  C2010 01 13.25742 08 00 31.78 +10 40 42.4          20.6 Vr~0D54G96
R4301K08Q24H  C2011 03 28.40630 14 56 25.34 -11 49 55.1          20.1 Vo~0U4c691
R4301K08Q24H  C2011 03 28.42408 14 56 24.99 -11 49 49.9          20.5 Vo~0U4c691
R4301K08Q24H  C2011 03 28.44186 14 56 24.60 -11 49 43.7          20.4 Vo~0U4c691
R4301K08Q24H  C2011 04 01.40806 14 54 57.49 -11 27 02.3          20.4 Vo~0U4c691
R4301K08Q24H  C2011 04 01.42582 14 54 56.97 -11 26 56.2          20.5 Vo~0U4c691
R4301K08Q24H  C2011 04 01.44360 14 54 56.51 -11 26 49.4          20.5 Vo~0U4c691
R4301         C2011 04 15.50255 14 46 32.312-09 52 21.66         20.2 iL~0VDGF51
R4301         C2011 04 15.51379 14 46 31.786-09 52 16.53         20.2 iL~0VDGF51
R4301         C2011 04 15.53693 14 46 30.670-09 52 06.27         20.7 rL~0VDGF51
R4301         C2011 04 27.45206 14 36 29.667-08 22 53.87         19.7 rL~0VVyF51
R4301         C2011 04 27.46331 14 36 29.024-08 22 48.80         19.6 iL~0VVyF51
R4301         C2011 04 27.47402 14 36 28.422-08 22 43.86         19.5 iL~0VVyF51
R4301         C2011 04 28.39114 14 35 38.669-08 15 51.84         20.5 gL~0VlFF51
R4301         C2011 04 28.40650 14 35 37.791-08 15 44.98         20.5 gL~0VlFF51
R4301         C2011 04 28.42316 14 35 36.848-08 15 37.52         19.9 rL~0VlFF51
R4301         C2011 04 28.43771 14 35 36.012-08 15 31.01         19.8 rL~0VlFF51
R4301         C2011 05 07.27309 14 27 30.13 -07 11 51.8          19.9 Vr~0W08703
R4301         C2011 05 07.27998 14 27 29.77 -07 11 48.6          19.6 Vr~0W08703
R4301         C2011 05 07.28689 14 27 29.30 -07 11 45.6          19.8 Vr~0W08703
R4301         C2011 05 07.29379 14 27 29.01 -07 11 43.0          19.6 Vr~0W08703
R4301         C2011 05 13.28066 14 22 12.46 -06 32 56.4          19.6 Vr~0W08G96
R4301         C2011 05 13.28765 14 22 12.10 -06 32 53.9          19.6 Vr~0W08G96
R4301         C2011 05 13.29454 14 22 11.74 -06 32 51.6          19.3 Vr~0W08G96
R4301         C2011 05 13.30149 14 22 11.38 -06 32 48.8          19.8 Vr~0W08G96
R4301         C2012 10 06.94839 02 56 29.73 +11 09 31.1          20.2 Vu~0kE1A50
R4301         C2012 10 06.96496 02 56 29.23 +11 09 23.2          20.1 Vu~0kE1A50
R4301         C2012 10 06.98150 02 56 28.65 +11 09 16.5          20.1 Vu~0kE1A50
R4301         C2012 10 08.30653 02 55 42.91 +10 59 38.8          19.9 Ro~0jUc926
R4301         C2012 10 08.31579 02 55 42.62 +10 59 33.9          19.8 Ro~0jUc926
R4301         C2012 10 08.32735 02 55 42.14 +10 59 29.4          19.7 Ro~0jUc926
R4301         C2012 10 12.22913 02 53 10.80 +10 30 07.2                o~0kE1691
R4301         C2012 10 12.24681 02 53 09.98 +10 29 58.7                o~0kE1691
R4301         C2012 10 12.26450 02 53 09.25 +10 29 50.9                o~0kE1691
R4301         C2012 10 16.25401 02 50 11.27 +09 58 43.3          19.8 Vo~0kE1691
R4301         C2012 10 16.27168 02 50 10.43 +09 58 35.0          19.8 Vo~0kE1691
R4301         C2012 10 16.28936 02 50 09.55 +09 58 26.8          19.7 Vo~0kE1691
R4301         c2012 10 18.39127502 48 27.835+09 41 47.05         19.8 wL~0kE1F51
R4301         c2012 10 18.40643002 48 27.050+09 41 39.90         19.8 wL~0kE1F51
R4301         c2012 10 18.42160602 48 26.266+09 41 32.75         19.8 wL~0kE1F51
R4301         c2012 10 18.43689702 48 25.458+09 41 25.41         19.8 wL~0kE1F51
R4301         C2012 10 20.26746 02 46 53.04 +09 26 48.2          19.8 Vo~0keU691
R4301         C2012 10 20.28515 02 46 52.11 +09 26 39.4          19.8 Vo~0keU691
R4301         C2012 10 20.30282 02 46 51.16 +09 26 31.2          19.8 Vo~0keU691
R4301         C2012 10 26.28024 02 41 30.84 +08 38 58.5          19.9 Vr~0keU703
R4301         C2012 10 26.28789 02 41 30.40 +08 38 57.4          19.6 Vr~0keU703
R4301         C2012 10 26.29545 02 41 29.83 +08 38 51.7          19.6 Vr~0keU703
R4301         C2012 10 26.30303 02 41 29.43 +08 38 51.5          18.9 Vr~0keU703
R4301         C2014 02 10.43652 10 01 51.987+05 27 07.52         21.0 iL~10pjF51
R4301         C2014 02 10.44887 10 01 51.290+05 27 11.98         20.9 iL~10pjF51
R4301         C2014 02 10.46125 10 01 50.606+05 27 17.02         20.5 iL~10pjF51
R4301         C2014 02 28.37109 09 45 27.946+07 31 22.65         20.4 wL~11mpF51
R4301         C2014 02 28.38278 09 45 27.315+07 31 27.66         20.4 wL~11mpF51
R4301         C2014 02 28.39447 09 45 26.689+07 31 32.67         20.3 wL~11mpF51
R4301         C2014 03 20.26463 09 31 39.106+09 40 58.11         20.7 wL~12atF51
R4301         C2014 03 20.28980 09 31 38.339+09 41 06.56         20.7 wL~12atF51
R4301         C2014 03 20.30166 09 31 37.973+09 41 10.66         20.7 wL~12atF51
R4301         C2015 06 22.29466 17 50 04.82 -10 44 32.2          19.3 Vq~1U4kG96
R4301         C2015 06 22.29975 17 50 04.51 -10 44 32.6          18.9 Vq~1U4kG96
R4301         C2015 06 22.30485 17 50 04.23 -10 44 32.4          19.2 Vq~1U4kG96
R4301         C2015 06 22.30638 17 50 04.11 -10 44 31.9          19.1 rR~1U4kG45
R4301         C2015 06 22.30645 17 50 04.11 -10 44 32.3          19.6 rR~1U4kG45
R4301         C2015 06 22.30994 17 50 03.91 -10 44 31.8          19.2 Vq~1U4kG96
R4301         C2015 06 22.31153 17 50 03.77 -10 44 31.6          19.7 rR~1U4kG45
R4301         C2015 06 22.32391 17 50 03.03 -10 44 31.2          19.1 rR~1U4kG45
R4301         C2015 06 22.32919 17 50 02.66 -10 44 30.6          19.3 rR~1U4kG45
R4301         C2015 07 19.32070 17 28 55.341-11 22 10.62         20.2 gL~1UyAF51
R4301         C2015 07 19.33100 17 28 55.003-11 22 12.66         20.1 gL~1UyAF51
R4301         C2015 07 19.34132 17 28 54.690-11 22 14.59         20.2 gL~1UyAF51
R4301         C2015 07 19.35210 17 28 54.348-11 22 16.86         20.2 gL~1UyAF51
R4301         C2015 08 12.28283 17 27 10.035-13 06 21.37         20.3 gL~1VsTF51
R4301         C2015 08 12.29320 17 27 10.221-13 06 24.60         20.3 gL~1VsTF51
R4301         C2015 08 12.30395 17 27 10.405-13 06 27.70         20.3 gL~1VsTF51
R4301         C2015 08 12.31426 17 27 10.580-13 06 30.97         20.3 gL~1VsTF51
R4301         C2016 12 04.34316 05 38 40.86 +12 39 09.0          21.0 Vq~23r0G96
R4301         C2016 12 04.34746 05 38 40.58 +12 39 07.6          20.5 Vq~23r0G96
R4301         C2016 12 04.35176 05 38 40.36 +12 39 07.5          20.4 Vq~23r0G96
R4301         C2016 12 04.35607 05 38 40.15 +12 39 07.2          20.3 Vq~23r0G96
R4301         C2016 12 04.40630 05 38 36.86 +12 38 59.5          21.3 Vq~23r0G96
R4301         C2016 12 04.41179 05 38 36.53 +12 39 00.0          21.1 Vq~23r0G96
R4301         C2016 12 04.41758 05 38 36.17 +12 38 58.6          20.2 Vq~23r0G96
R4301         C2016 12 04.42325 05 38 35.82 +12 38 57.6          20.7 Vq~23r0G96
R4301         C2016 12 07.93806 05 34 56.18 +12 32 20.1          20.5 V ~2r63L32
R4301         C2016 12 07.93943 05 34 56.07 +12 32 19.9          19.7 R ~2r63L32
R4301         C2016 12 07.94089 05 34 55.97 +12 32 19.7          20.5 V ~2r63L32
R4301         C2016 12 07.94235 05 34 55.88 +12 32 19.5          19.6 I ~2r63L32
R4301         C2016 12 07.94372 05 34 55.80 +12 32 19.3          20.5 V ~2r63L32
R4301         C2016 12 07.94507 05 34 55.70 +12 32 19.2          19.8 R ~2r63L32
R4301         C2016 12 07.94641 05 34 55.62 +12 32 19.0          20.5 V ~2r63L32
R4301         C2016 12 07.94780 05 34 55.52 +12 32 19.0          19.5 I ~2r63L32
R4301         C2016 12 07.94917 05 34 55.44 +12 32 18.7          20.4 V ~2r63L32
R4301         C2016 12 07.95069 05 34 55.33 +12 32 18.6          19.7 R ~2r63L32
R4301         C2016 12 07.95351 05 34 55.15 +12 32 18.3          19.5 I ~2r63L32
R4301         C2016 12 07.95508 05 34 55.05 +12 32 18.2          20.3 V ~2r63L32
R4301         C2016 12 07.95666 05 34 54.95 +12 32 18.0          19.7 R ~2r63L32
R4301         C2016 12 07.95817 05 34 54.85 +12 32 18.0          20.3 V ~2r63L32
R4301         C2016 12 07.95962 05 34 54.76 +12 32 17.8          19.5 I ~2r63L32
R4301         C2016 12 07.96109 05 34 54.66 +12 32 17.6          20.4 V ~2r63L32
R4301         C2016 12 07.96243 05 34 54.57 +12 32 17.5          20.3 V ~2r63L32
R4301         C2016 12 07.96394 05 34 54.47 +12 32 17.3          19.8 R ~2r63L32
R4301         C2016 12 07.96528 05 34 54.38 +12 32 17.2          20.4 V ~2r63L32
R4301         C2016 12 07.96663 05 34 54.29 +12 32 16.9          19.6 I ~2r63L32
R4301         C2016 12 07.96799 05 34 54.21 +12 32 16.9          20.4 V ~2r63L32
R4301         C2016 12 07.96933 05 34 54.12 +12 32 16.7          19.8 R ~2r63L32
R4301         C2016 12 07.97068 05 34 54.03 +12 32 16.6          20.1 V ~2r63L32
R4301         C2016 12 07.97203 05 34 53.94 +12 32 16.4          19.4 I ~2r63L32
R4301         C2016 12 07.97338 05 34 53.86 +12 32 16.3          20.1 V ~2r63L32
R4301         C2016 12 07.97475 05 34 53.76 +12 32 16.1          19.8 R ~2r63L32
R4301         C2016 12 07.97609 05 34 53.67 +12 32 16.0          20.4 V ~2r63L32
R4301         C2016 12 07.97744 05 34 53.59 +12 32 15.8          19.6 I ~2r63L32
R4301         C2016 12 07.97880 05 34 53.49 +12 32 15.8          20.2 V ~2r63L32
R4301         C2016 12 07.98019 05 34 53.40 +12 32 15.6          19.8 R ~2r63L32
R4301         C2016 12 07.98156 05 34 53.31 +12 32 15.6          20.1 V ~2r63L32
R4301         C2016 12 24.28093 05 17 49.52 +12 17 48.6          21.2 Vq~24uoG96
R4301         C2016 12 24.28349 05 17 49.35 +12 17 48.9          21.2 Vq~24uoG96
R4301         C2016 12 24.28612 05 17 49.17 +12 17 48.3          20.4 Vq~24uoG96
R4301         C2016 12 24.28876 05 17 49.01 +12 17 48.3          20.5 Vq~24uoG96
R4301         C2018 03 11.41931 12 05 05.372-01 43 45.43         20.1 wU~2aCqF51
R4301         C2018 03 11.43099 12 05 04.766-01 43 39.87         20.2 wU~2aCqF51
R4301         C2018 03 11.44266 12 05 04.158-01 43 34.40         20.1 wU~2aCqF51
R4301         C2018 03 20.32378 11 57 24.56 -00 31 10.0          20.2 GU~2apqG96
R4301         C2018 03 20.32892 11 57 24.30 -00 31 07.2          20.1 GU~2apqG96
R4301         C2018 03 20.33406 11 57 24.02 -00 31 04.7          19.8 GU~2apqG96
R4301         C2018 03 20.33920 11 57 23.73 -00 31 02.4          20.1 GU~2apqG96
R4301         C2018 04 13.30599 11 38 15.723+02 36 38.37         21.3 wU~2cJYF51
R4301         C2018 04 13.30816 11 38 15.631+02 36 39.07         21.3 wU~2cJYF51
R4301         C2018 04 13.31737 11 38 15.271+02 36 42.68         21.1 wU~2cJYF51
R4301         C2018 04 13.31951 11 38 15.192+02 36 43.46         21.5 wU~2cJYF51
R4301         C2018 04 13.32877 11 38 14.818+02 36 47.18         21.1 wU~2cJYF51
R4301         C2018 04 13.33091 11 38 14.750+02 36 48.00         21.4 wU~2cJYF51
R4301         C2018 04 13.34019 11 38 14.369+02 36 51.62         21.3 wU~2cJYF51
R4301         C2018 04 13.34232 11 38 14.281+02 36 52.40         21.6 wU~2cJYF51
R4301         C2018 04 14.23550 11 37 41.10 +02 42 41.5          21.0 GU~2cJYG96
R4301         C2018 04 14.24065 11 37 40.97 +02 42 43.9          21.5 GU~2cJYG96
R4301         C2018 04 14.25096 11 37 40.62 +02 42 47.1          21.3 GU~2cJZG96
R4301         C2018 04 21.21934 11 33 58.45 +03 23 46.7          21.0 GU~2dT5G96
R4301         C2018 04 21.22499 11 33 58.29 +03 23 48.0          20.4 GU~2dT5G96
R4301         C2018 04 21.23063 11 33 58.13 +03 23 49.6          20.1 GU~2dT5G96
R4301         C2018 04 21.23627 11 33 57.98 +03 23 51.8                U~2dT5G96
R4301         C2019 06 05.40772 22 11 47.87 -03 15 34.0          21.7 GV~5esRG96
R4301         C2019 06 05.41290 22 11 48.30 -03 15 32.4          22.5 GV~5esRG96
R4301         C2019 06 05.41809 22 11 48.61 -03 15 29.3          21.7 GV~5esRG96
R4301         C2019 06 05.42327 22 11 48.90 -03 15 27.7          21.7 GV~5esRG96
R4301         C2019 07 03.55542 22 34 20.601-00 32 33.55         19.8 wU~39DCF51
R4301         C2019 07 03.56573 22 34 20.861-00 32 31.44         19.8 wU~39DCF51
R4301         C2019 07 03.57606 22 34 21.118-00 32 29.28         19.8 wU~39DCF51
R4301         C2019 07 03.58637 22 34 21.377-00 32 27.18         19.9 wU~39DCF51
R4301         C2019 07 07.56210 22 35 58.013-00 20 22.86         19.6 wU~39DCF51
R4301         C2019 07 07.57404 22 35 58.233-00 20 21.00         19.6 wU~39DCF51
R4301         C2019 07 07.58599 22 35 58.450-00 20 19.16         19.6 wU~39DCF51
R4301         C2019 07 07.59794 22 35 58.668-00 20 17.27         19.6 wU~39DCF51
R4301         C2019 07 28.48185 22 36 55.560-00 19 15.13         19.2 wU~3AGEF52
R4301         C2019 07 28.49344 22 36 55.342-00 19 16.95         19.2 wU~3AGEF52
R4301         C2019 07 28.50502 22 36 55.126-00 19 18.83         19.2 wU~3AGEF52
R4301         C2019 07 28.51660 22 36 54.905-00 19 20.78         19.2 wU~3AGEF52
R4301         C2019 07 28.52551422 36 54.72 -00 19 21.8          19.16oV~3BkCT08
R4301         C2019 07 28.52919522 36 54.66 -00 19 22.3          18.94oV~3BkCT08
R4301         C2019 07 28.53554122 36 54.56 -00 19 23.7          18.98oV~3BkCT08
R4301         C2019 07 28.54828122 36 54.30 -00 19 25.8          19.14oV~3BkCT08
R4301         C2019 08 01.37736022 35 41.31 -00 31 56.4          19.07rU~3AXRI41
R4301         C2019 08 01.40138022 35 40.71 -00 32 01.8          19.94gU~3AXRI41
R4301         C2019 08 05.43001 22 33 58.246-00 49 31.60         19.5 wU~3BkCF51
R4301         C2019 08 05.45318 22 33 57.517-00 49 38.41         19.5 wU~3BkCF51
R4301         C2019 08 05.46480 22 33 57.151-00 49 41.82         19.4 wU~3BkCF51
R4301         C2019 08 21.41780 22 23 51.57 -02 38 22.6          18.9 GV~3CblG96
R4301         C2019 08 21.42438 22 23 51.26 -02 38 26.0          19.1 GV~3CblG96
R4301         C2019 08 21.43091 22 23 50.95 -02 38 29.4          19.1 GV~3CblG96
R4301         C2019 08 21.43611 22 23 50.70 -02 38 32.1          19.0 GV~3CblG96
R4301         C2019 08 23.45319122 22 19.98 -02 55 50.3          18.58oV~3EQbT05
R4301         C2019 08 23.45605122 22 19.83 -02 55 52.0          18.39oV~3EQbT05
R4301         C2019 08 23.46166122 22 19.55 -02 55 55.5          18.48oV~3EQbT05
R4301         C2019 08 23.47210222 22 19.04 -02 56 01.0          18.61oV~3EQbT05
R4301         C2019 08 25.57196622 20 42.55 -03 14 40.6          18.88oV~3EQbT08
R4301         C2019 08 25.57525622 20 42.39 -03 14 41.8          19.05oV~3EQbT08
R4301         C2019 08 25.58092122 20 42.17 -03 14 45.1          18.71oV~3EQbT08
R4301         C2019 08 25.59179022 20 41.59 -03 14 50.3          18.74oV~3EQbT08
R4301         C2019 08 27.23463 22 19 26.58 -03 29 50.4          18.7 GV~3EQb703
R4301         C2019 08 27.24006 22 19 26.33 -03 29 53.5          18.8 GV~3EQb703
R4301         C2019 08 27.24548 22 19 26.03 -03 29 56.6          18.5 GV~3EQb703
R4301         C2019 08 27.25090 22 19 25.82 -03 29 59.2          18.5 GV~3EQb703
R4301         C2019 08 29.46170522 17 43.75 -03 50 30.4          19.29oV~3EQbT08
R4301         C2019 08 29.46499722 17 43.56 -03 50 32.6          18.92oV~3EQbT08
R4301         C2019 08 29.47064822 17 43.30 -03 50 35.8          18.57oV~3EQbT08
R4301         C2019 08 29.48065222 17 42.80 -03 50 41.4          18.91oV~3EQbT08
R4301         C2019 09 18.40892622 04 57.10 -06 55 52.3          19.42oV~3G7FT08
R4301         C2019 09 18.41180122 04 57.03 -06 55 54.2          19.39oV~3G7FT08
R4301         C2019 09 18.41746122 04 56.85 -06 55 56.0          19.28oV~3G7FT08
R4301         C2019 09 18.42735722 04 56.52 -06 56 02.3          19.02oV~3G7FT08
R4301         C2019 09 19.43300 22 04 30.741-07 04 29.53         19.7 iU~3G7FF51
R4301         C2019 09 19.46705 22 04 29.802-07 04 46.27         19.6 iU~3G7FF51
R4301         C2019 09 21.15518 22 03 50.70 -07 18 38.8          19.3 GV~3G7FG96
R4301         C2019 09 21.16132 22 03 50.55 -07 18 41.9          19.2 GV~3G7FG96
R4301         C2019 09 21.16748 22 03 50.38 -07 18 45.0          19.2 GV~3G7FG96
R4301         C2019 09 21.18850 22 03 49.86 -07 18 55.2          19.2 GV~3G7FG96
R4301         C2019 09 24.30005 22 02 49.591-07 43 10.63         20.1 wU~3Kp8F51
R4301         C2019 09 24.31331 22 02 49.332-07 43 16.72         20.2 wU~3Kp8F51
R4301         C2019 09 24.32656 22 02 49.071-07 43 22.75         20.1 wU~3Kp8F51
R4301         C2019 09 24.33983 22 02 48.810-07 43 28.77         20.1 wU~3Kp8F51
R4301         C2019 09 25.36535 22 02 32.620-07 51 06.01         19.5 wU~3Kp8F51
R4301         C2019 09 25.37885 22 02 32.380-07 51 11.95         19.4 wU~3Kp8F51
R4301         C2019 09 25.39236 22 02 32.140-07 51 17.85         19.5 wU~3Kp8F51
R4301         C2019 09 25.40585 22 02 31.907-07 51 23.74         19.5 wU~3Kp8F51
R4301         C2019 10 03.15851 22 01 33.82 -08 42 17.4          19.7 GV~3Kp8G96
R4301         C2019 10 03.16417 22 01 33.81 -08 42 19.4          19.6 GV~3Kp8G96
R4301         C2019 10 03.16981 22 01 33.79 -08 42 21.3          19.7 GV~3Kp8G96
R4301         C2019 10 03.17546 22 01 33.78 -08 42 23.3          19.6 GV~3Kp8G96
R4301         C2019 10 24.26782 22 08 20.664-09 54 20.77         20.7 wU~3N26F52
R4301         C2019 10 24.26910 22 08 20.711-09 54 21.04         20.8 wU~3N26F52
R4301         C2019 10 24.27877 22 08 21.046-09 54 21.52         20.8 wU~3N26F52
R4301         C2019 10 24.28005 22 08 21.093-09 54 21.66         20.8 wU~3N26F52
R4301         C2019 10 24.28969 22 08 21.431-09 54 22.17         20.7 wU~3N26F52
R4301         C2019 10 24.29097 22 08 21.479-09 54 22.36         20.8 wU~3N26F52
R4301         C2019 10 24.30065 22 08 21.817-09 54 22.83         20.9 wU~3N26F52
R4301         C2019 10 24.30193 22 08 21.871-09 54 22.96         21.2 wU~3N26F52
R4301         C2019 10 31.13610 22 13 15.65 -09 56 56.0          20.3 GV~3PhKG96
R4301         C2019 10 31.14129 22 13 15.93 -09 56 56.1          19.9 GV~3PhKG96
R4301         C2019 10 31.14646 22 13 16.14 -09 56 55.8          20.5 GV~3PhKG96
R4301         C2019 10 31.15163 22 13 16.40 -09 56 55.7          20.1 GV~3PhKG96
R4301         C2020 10 22.60249 08 03 05.524+13 02 47.29         21.5 wU~4KVhF51
R4301         C2020 10 22.61110 08 03 05.939+13 02 44.60         21.4 wU~4KVhF51
R4301         C2020 10 22.61972 08 03 06.348+13 02 42.21         21.4 wU~4KVhF51
R4301         C2020 10 22.62838 08 03 06.761+13 02 39.67         21.5 wU~4KVhF51
R4301         C2020 12 24.61736 08 06 11.173+10 21 56.43         21.0 wU~4SyKF51
R4301         C2020 12 24.62795 08 06 10.670+10 21 57.22         20.9 wU~4SyKF51
R4301         C2021 01 10.31993307 50 52.87 +10 58 02.9          20.77GV~4XW0G96
R4301         C2021 01 10.32503207 50 52.56 +10 58 03.7          21.09GV~4XW0G96
R4301         C2021 01 10.33014607 50 52.27 +10 58 04.6          21.59GV~4XW0G96
R4301         C2021 01 10.33525307 50 51.94 +10 58 05.8          20.85GV~4XW0G96
R4301         C2021 01 14.31831907 46 47.50 +11 11 28.1          20.43rU~4XW0I41
R4301         C2021 01 14.33175007 46 46.65 +11 11 30.9          20.59rU~4XW0I41
R4301         C2021 01 16.29226007 44 45.82 +11 18 38.5          20.33rU~4XW0I41
R4301         C2021 01 16.33840007 44 42.91 +11 18 48.3          20.76gU~4XW0I41
R4301         C2021 03 19.17561007 16 59.30 +15 26 59.0          21.75GV~4hTVG96
R4301         C2021 03 19.18119507 16 59.40 +15 26 59.7          21.42GV~4hTVG96
R4301         C2021 03 19.18677507 16 59.55 +15 27 00.8          22.23GV~4hTVG96
R4301         C2021 03 19.19235007 16 59.63 +15 27 01.4          21.49GV~4hTVG96
R4301         C2022 02 25.62309814 40 47.950-12 50 43.24         20.87wU~5UWqF52
R4301         C2022 02 25.63069814 40 48.126-12 50 42.61         20.84wU~5UWqF52
