Wl (nm),  MAC (m2 g-1)
350.000,  0.23325
351.000,  0.23260
352.000,  0.23196
353.000,  0.23134
354.000,  0.23074
355.000,  0.23013
356.000,  0.22948
357.000,  0.22881
358.000,  0.22815
359.000,  0.22750
360.000,  0.22686
361.000,  0.22621
362.000,  0.22554
363.000,  0.22487
364.000,  0.22420
365.000,  0.22355
366.000,  0.22288
367.000,  0.22221
368.000,  0.22151
369.000,  0.22081
370.000,  0.22010
371.000,  0.21939
372.000,  0.21869
373.000,  0.21801
374.000,  0.21733
375.000,  0.21664
376.000,  0.21591
377.000,  0.21516
378.000,  0.21443
379.000,  0.21371
380.000,  0.21299
381.000,  0.21226
382.000,  0.21151
383.000,  0.21076
384.000,  0.21001
385.000,  0.20926
386.000,  0.20852
387.000,  0.20776
388.000,  0.20699
389.000,  0.20621
390.000,  0.20542
391.000,  0.20463
392.000,  0.20383
393.000,  0.20304
394.000,  0.20227
395.000,  0.20150
396.000,  0.20072
397.000,  0.19990
398.000,  0.19906
399.000,  0.19823
400.000,  0.19742
401.000,  0.19661
402.000,  0.19579
403.000,  0.19495
404.000,  0.19411
405.000,  0.19326
406.000,  0.19242
407.000,  0.19158
408.000,  0.19074
409.000,  0.18989
410.000,  0.18902
411.000,  0.18815
412.000,  0.18727
413.000,  0.18639
414.000,  0.18550
415.000,  0.18461
416.000,  0.18374
417.000,  0.18288
418.000,  0.18203
419.000,  0.18114
420.000,  0.18022
421.000,  0.17929
422.000,  0.17838
423.000,  0.17748
424.000,  0.17659
425.000,  0.17569
426.000,  0.17477
427.000,  0.17385
428.000,  0.17292
429.000,  0.17200
430.000,  0.17108
431.000,  0.17018
432.000,  0.16926
433.000,  0.16833
434.000,  0.16739
435.000,  0.16645
436.000,  0.16552
437.000,  0.16457
438.000,  0.16362
439.000,  0.16267
440.000,  0.16174
441.000,  0.16084
442.000,  0.15994
443.000,  0.15901
444.000,  0.15805
445.000,  0.15707
446.000,  0.15611
447.000,  0.15518
448.000,  0.15426
449.000,  0.15334
450.000,  0.15241
451.000,  0.15146
452.000,  0.15051
453.000,  0.14957
454.000,  0.14863
455.000,  0.14770
456.000,  0.14679
457.000,  0.14588
458.000,  0.14495
459.000,  0.14401
460.000,  0.14307
461.000,  0.14215
462.000,  0.14123
463.000,  0.14030
464.000,  0.13936
465.000,  0.13844
466.000,  0.13755
467.000,  0.13669
468.000,  0.13582
469.000,  0.13493
470.000,  0.13401
471.000,  0.13307
472.000,  0.13216
473.000,  0.13128
474.000,  0.13043
475.000,  0.12957
476.000,  0.12871
477.000,  0.12783
478.000,  0.12695
