flowobject_from,flowobject_to,classification_from,classification_to,comment,prefixed_id,skos_uri
fi_15120,08111133,bonsai,prodcom_total_2_0,one-to-many correspondence,64df643d-d4aa-427e-bc4d-47e449e7370b,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15120,08111150,bonsai,prodcom_total_2_0,one-to-many correspondence,a02dcb39-9070-4a8b-9779-3b7d421a620a,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15130,08111220,bonsai,prodcom_total_2_0,one-to-many correspondence,e462004c-0141-4c06-bd4a-287b0ac0409b,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15130,08111233,bonsai,prodcom_total_2_0,one-to-many correspondence,6c6f8fee-0047-4bf6-a013-ba703b431109,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15130,08111236,bonsai,prodcom_total_2_0,one-to-many correspondence,772066a5-e3dc-4f4d-859e-9f0966e212bd,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15130,08111250,bonsai,prodcom_total_2_0,one-to-many correspondence,3429f282-8197-41d1-8742-67ac17c9a393,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15130,08111260,bonsai,prodcom_total_2_0,one-to-many correspondence,25670d36-ee14-4e11-a963-8aab1001acf8,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15130,08111261,bonsai,prodcom_total_2_0,one-to-many correspondence,3e51167e-1df6-4f52-b42f-b1f5a7264d31,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15130,08111262,bonsai,prodcom_total_2_0,one-to-many correspondence,b12705ad-e20c-4a32-91b6-f4a0056f3b35,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15130,08111269,bonsai,prodcom_total_2_0,one-to-many correspondence,b6604fc1-29ef-4868-9450-58b5a8c13741,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15130,08111290,bonsai,prodcom_total_2_0,one-to-many correspondence,bbacc33f-94c6-43c1-bb02-84bc8752472c,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15200,08112050,bonsai,prodcom_total_2_0,one-to-one correspondence,e0dcbc5d-6357-4ade-b945-51f07662137c,http://www.w3.org/2004/02/skos/core#exactMatch
fi_16330,08113010,bonsai,prodcom_total_2_0,one-to-many correspondence,e988add3-30d5-4da5-bc08-4c9034e17e67,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_16330,08113030,bonsai,prodcom_total_2_0,one-to-many correspondence,519ecaa2-5303-4efd-8084-7b138afd1f18,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15110,08114000,bonsai,prodcom_total_2_0,one-to-one correspondence,800373f3-4406-4f29-a6fe-7490b1be47e4,http://www.w3.org/2004/02/skos/core#exactMatch
fi_15400,08122140,bonsai,prodcom_total_2_0,one-to-many correspondence,d6691200-96f6-4e7e-bb92-38b50c1accb8,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15400,08122160,bonsai,prodcom_total_2_0,one-to-many correspondence,96093d7b-af6f-4654-8b4d-48c6acae15a5,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15400,08122210,bonsai,prodcom_total_2_0,one-to-many correspondence,5835e825-6299-4dc8-9257-acf9df7d4240,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15400,08122230,bonsai,prodcom_total_2_0,one-to-many correspondence,92e0ebb6-90c9-4590-8743-50d7a0ecf9cc,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15400,08122250,bonsai,prodcom_total_2_0,one-to-many correspondence,b7b6d89d-eb14-4c5f-961f-94d3591ac3d3,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15400,08122255,bonsai,prodcom_total_2_0,one-to-many correspondence,218d1a47-d34e-4749-9200-6de22c2da19c,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15400,08122260,bonsai,prodcom_total_2_0,one-to-many correspondence,fbc40f31-d403-4595-b55b-1265c160b518,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15400,08122270,bonsai,prodcom_total_2_0,one-to-many correspondence,b5a5c434-13b9-47f8-8c28-e34133031b68,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15400,08122280,bonsai,prodcom_total_2_0,one-to-many correspondence,f536646e-7f97-4c63-9380-0853c3f4032e,http://www.w3.org/2004/02/skos/core#narrowMatch
C_Kfert,08911100,bonsai,prodcom_total_2_0,one-to-one correspondence,4d93cacb-5260-407e-b4d2-a0ca68e556bb,http://www.w3.org/2004/02/skos/core#exactMatch
fi_16120,08911200,bonsai,prodcom_total_2_0,one-to-one correspondence,1697a2c3-8d8f-4ece-9447-ccedd17196ab,http://www.w3.org/2004/02/skos/core#exactMatch
fi_34520,08911220,bonsai,prodcom_total_2_0,one-to-many correspondence,d03e4d03-8f29-463a-96bf-803e7e50d2bc,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_34520,08911230,bonsai,prodcom_total_2_0,one-to-many correspondence,b333ccdd-ea50-4057-939e-c06e279505e5,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_16190,08911900,bonsai,prodcom_total_2_0,one-to-many correspondence,9ab52e3e-8ee5-416e-80b8-9238f655936f,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_16190,08911910,bonsai,prodcom_total_2_0,one-to-many correspondence,71a056ed-801b-4135-89f5-19d0f5bf2bba,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_16190,08911911,bonsai,prodcom_total_2_0,one-to-many correspondence,24075017-bfcd-4041-8522-64f59e0145e3,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_16190,08911912,bonsai,prodcom_total_2_0,one-to-many correspondence,680d3cdd-9ff6-48b7-847b-2d66924f1a70,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_16190,08911913,bonsai,prodcom_total_2_0,one-to-many correspondence,663a0404-a94e-41b2-99ed-bb3f9e63e083,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_16190,08911919,bonsai,prodcom_total_2_0,one-to-many correspondence,4104b2d9-54dc-4627-884f-0c173a55c0f4,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_16200,08931000,bonsai,prodcom_total_2_0,one-to-many correspondence,01c0ac4d-8039-4a47-8764-71e85eea2c90,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_15330,08991000,bonsai,prodcom_total_2_0,one-to-one correspondence,947b54c0-323a-4d08-954b-9c84946c198e,http://www.w3.org/2004/02/skos/core#exactMatch
fi_16310,08992100,bonsai,prodcom_total_2_0,one-to-many correspondence,d60d3e98-431b-42a8-b1c8-6e7e4b2b5422,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_16310,08992110,bonsai,prodcom_total_2_0,one-to-many correspondence,59bd3fe1-2782-4f5e-95d5-3d86dca141d8,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_16310,08992120,bonsai,prodcom_total_2_0,one-to-many correspondence,a1335342-b96c-462d-bea8-1c1bf9c573fe,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_16320,08992200,bonsai,prodcom_total_2_0,one-to-many correspondence,d654fb22-776a-49a2-abfc-21b2624abd57,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_16320,08992210,bonsai,prodcom_total_2_0,one-to-many correspondence,f804f88f-5cf1-45c1-8a44-9f1ba468adc5,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_16320,08992220,bonsai,prodcom_total_2_0,one-to-many correspondence,0c57f584-8704-456b-9715-99491bb6c1fe,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_16320,08992230,bonsai,prodcom_total_2_0,one-to-many correspondence,550d4c36-dcf8-400b-a9c4-0d0416fc7f84,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_16390,08992900,bonsai,prodcom_total_2_0,one-to-many correspondence,ae347397-13ce-48dc-b674-db2f8659aefc,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_16390,08992910,bonsai,prodcom_total_2_0,one-to-many correspondence,bb1e5518-211d-4e82-abfa-76e38da5ed23,http://www.w3.org/2004/02/skos/core#narrowMatch
