Date de la mesure,09724X0023/P2,09724X0028/P37,09728X0177/PZ1BEC
2012-01-01,103.54,109.45,
2012-01-02,103.54,109.43,
2012-01-03,103.53,109.42,
2012-01-04,103.52,109.4,
2012-01-05,103.5,109.37,
2012-01-06,103.49,109.35,
2012-01-07,103.45,109.31,
2012-01-08,103.44,109.26,
2012-01-09,103.42,109.22,
2012-01-10,103.41,109.17,
2012-01-11,103.39,109.14,
2012-01-12,103.38,109.12,
2012-01-13,103.36,109.09,
2012-01-14,103.34,109.06,
2012-01-15,103.33,109.04,
2012-01-16,103.32,109.02,
2012-01-17,103.3,108.99,
2012-01-18,103.28,108.96,
2012-01-19,103.26,108.93,
2012-01-20,103.24,108.91,
2012-01-21,103.22,108.9,
2012-01-22,103.21,108.89,
2012-01-23,103.21,108.9,
2012-01-24,103.21,108.92,
2012-01-25,103.2,108.91,
2012-01-26,103.19,108.89,
2012-01-27,103.18,108.88,
2012-01-28,103.16,108.88,
2012-01-29,103.16,108.88,
2012-01-30,103.16,108.87,
2012-01-31,103.16,108.85,
2012-02-01,103.15,108.85,
2012-02-02,103.13,108.8,
2012-02-03,103.09,108.76,
2012-02-04,103.06,108.71,
2012-02-05,103.04,108.66,
2012-02-06,103.02,108.63,
2012-02-07,102.99,108.59,
2012-02-08,102.98,108.55,
2012-02-09,102.97,108.53,
2012-02-10,102.96,108.51,
2012-02-11,102.93,108.48,
2012-02-12,102.91,108.45,
2012-02-13,102.89,108.41,
2012-02-14,102.87,108.38,
2012-02-15,102.86,108.36,
2012-02-16,102.85,108.34,
2012-02-17,102.85,108.34,
2012-02-18,102.84,108.35,
2012-02-19,102.86,108.38,
2012-02-20,102.87,108.41,
2012-02-21,102.87,108.41,
2012-02-22,102.87,108.39,
2012-02-23,102.86,108.37,
2012-02-24,102.86,108.35,
2012-02-25,102.86,108.35,
2012-02-26,102.88,108.39,
2012-02-27,102.91,108.41,
2012-02-28,102.92,108.48,
2012-02-29,102.93,108.5,
2012-03-01,102.93,108.5,
2012-03-02,102.95,108.51,
2012-03-03,102.96,108.51,
2012-03-04,102.96,108.49,
2012-03-05,102.96,108.48,
2012-03-06,102.96,108.45,
2012-03-07,102.93,108.4,
2012-03-08,102.91,108.36,
2012-03-09,102.89,108.32,
2012-03-10,102.85,108.28,
2012-03-11,102.84,108.23,
2012-03-12,102.83,108.2,
2012-03-13,102.82,108.18,
2012-03-14,102.81,108.17,
2012-03-15,102.81,108.15,
2012-03-16,102.8,108.13,
2012-03-17,102.79,108.12,
2012-03-18,102.78,108.1,
2012-03-19,102.78,108.08,
2012-03-20,102.76,108.06,
2012-03-21,102.74,108.04,
2012-03-22,102.73,108.02,
2012-03-23,102.73,108.01,
2012-03-24,102.71,108.0,
2012-03-25,102.7,107.98,
2012-03-26,102.7,107.99,
2012-03-27,102.7,107.98,
2012-03-28,102.7,107.97,
2012-03-29,102.7,107.97,
2012-03-30,102.7,107.96,
2012-03-31,102.69,107.96,
2012-04-01,102.7,107.99,
2012-04-02,102.72,107.99,
2012-04-03,102.72,107.99,
2012-04-04,102.73,107.99,
2012-04-05,102.83,108.08,
2012-04-06,102.88,108.12,
2012-04-07,102.91,108.15,
2012-04-08,102.91,108.16,
2012-04-09,102.91,108.16,
2012-04-10,102.9,108.16,
2012-04-11,103.1,108.37,
2012-04-12,103.31,108.64,
2012-04-13,103.39,108.83,
2012-04-14,103.43,108.92,
2012-04-15,103.47,109.03,
2012-04-16,103.5,109.08,
2012-04-17,103.5,109.1,
2012-04-18,103.53,109.14,
2012-04-19,103.53,109.15,
2012-04-20,103.52,109.17,
2012-04-21,103.5,109.17,
2012-04-22,103.49,109.19,
2012-04-23,103.5,109.19,
2012-04-24,103.5,109.23,
2012-04-25,103.51,109.23,
2012-04-26,103.49,109.21,
2012-04-27,103.48,109.23,
2012-04-28,103.5,109.27,
2012-04-29,103.59,109.33,
2012-04-30,103.72,109.39,
2012-05-01,104.16,109.87,
2012-05-02,104.21,110.13,
2012-05-03,104.2,110.26,
2012-05-04,104.18,110.32,
2012-05-05,104.18,110.37,
2012-05-06,104.23,110.41,
2012-05-07,104.19,110.4,
2012-05-08,104.15,110.42,
2012-05-09,104.13,110.51,
2012-05-10,104.14,110.59,
2012-05-11,104.18,110.61,
2012-05-12,104.22,110.62,
2012-05-13,104.25,110.65,
2012-05-14,104.23,110.63,
2012-05-15,104.17,110.58,
2012-05-16,104.12,110.54,
2012-05-17,104.07,110.49,
2012-05-18,104.05,110.44,
2012-05-19,104.03,110.41,
2012-05-20,104.02,110.41,
2012-05-21,104.15,110.49,
2012-05-22,104.19,110.53,
2012-05-23,104.14,110.51,
2012-05-24,104.1,110.51,
2012-05-25,104.1,110.53,
2012-05-26,104.15,110.55,
2012-05-27,104.12,110.42,
2012-05-28,104.12,110.33,
2012-05-29,104.07,110.23,
2012-05-30,104.03,110.14,
2012-05-31,,110.07,
2012-06-01,,109.93,
2012-06-02,,109.83,
2012-06-03,,109.77,
2012-06-04,103.79,109.74,
2012-06-05,103.74,109.69,
2012-06-06,103.68,109.62,
2012-06-07,103.65,109.57,
2012-06-08,103.64,109.53,
2012-06-09,103.62,109.49,
2012-06-10,103.6,109.46,
2012-06-11,103.58,109.43,
2012-06-12,103.55,109.38,
2012-06-13,103.51,109.33,
2012-06-14,103.49,109.28,
2012-06-15,103.48,109.24,
2012-06-16,103.44,109.2,
2012-06-17,103.43,109.18,
2012-06-18,103.43,109.17,
2012-06-19,,109.14,
2012-06-20,,109.1,
2012-06-21,,109.07,
2012-06-22,,109.05,
2012-06-23,,109.01,
2012-06-24,,108.96,
2012-06-25,103.28,108.92,
2012-06-26,103.26,108.87,
2012-06-27,103.23,108.81,
2012-06-28,103.21,108.77,
2012-06-29,103.2,108.74,
2012-06-30,103.18,108.71,
2012-07-01,103.17,108.69,
2012-07-02,103.15,108.66,
2012-07-03,103.14,108.63,
2012-07-04,103.13,108.6,
2012-07-05,103.1,108.55,
2012-07-06,103.01,108.42,
2012-07-07,102.92,108.26,
2012-07-08,102.87,108.15,
2012-07-09,102.82,108.06,
2012-07-10,102.79,108.0,
2012-07-11,102.77,107.95,
2012-07-12,102.74,107.9,
2012-07-13,102.71,107.8,
2012-07-14,102.66,107.78,
2012-07-15,102.63,107.73,
2012-07-16,102.6,107.67,
2012-07-17,102.56,107.61,
2012-07-18,102.52,107.57,
2012-07-19,102.49,107.53,
2012-07-20,102.46,107.49,
2012-07-21,102.43,107.46,
2012-07-22,102.41,107.43,
2012-07-23,102.39,107.41,
2012-07-24,102.28,107.29,
2012-07-25,102.2,107.16,
2012-07-26,102.13,107.05,
2012-07-27,102.04,106.92,
2012-07-28,101.93,106.76,
2012-07-29,101.85,106.63,
2012-07-30,101.79,106.53,
2012-07-31,101.72,106.42,
2012-08-01,101.66,106.32,
2012-08-02,101.61,106.23,
2012-08-03,101.55,106.13,
2012-08-04,101.53,106.0,
2012-08-05,101.53,105.91,
2012-08-06,101.53,105.79,
2012-08-07,101.53,105.68,
2012-08-08,101.53,105.57,
2012-08-09,101.53,105.46,
2012-08-10,101.53,105.33,
2012-08-11,101.53,105.25,
2012-08-12,101.53,105.23,
2012-08-13,101.53,105.18,
2012-08-14,101.53,105.07,
2012-08-15,101.53,104.96,
2012-08-16,101.53,104.86,
2012-08-17,101.53,104.77,
2012-08-18,101.53,104.69,
2012-08-19,101.53,104.62,
2012-08-20,101.53,104.56,
2012-08-21,101.53,104.49,
2012-08-22,101.53,104.38,
2012-08-23,101.53,104.23,
2012-08-24,101.53,104.09,
2012-08-25,101.53,103.97,
2012-08-26,101.53,103.87,
2012-08-27,101.53,103.72,
2012-08-28,101.53,103.56,
2012-08-29,101.53,103.41,
2012-08-30,101.53,103.28,
2012-08-31,101.53,103.16,
2012-09-01,101.53,103.06,
2012-09-02,101.53,102.96,
2012-09-03,101.53,102.87,
2012-09-04,101.53,102.86,
2012-09-05,101.53,103.04,
2012-09-06,101.53,103.17,
2012-09-07,101.53,103.23,
2012-09-08,101.53,103.24,
2012-09-09,101.53,103.27,
2012-09-10,101.53,103.3,
2012-09-11,101.53,103.31,
2012-09-12,101.53,103.34,
2012-09-13,101.53,103.34,
2012-09-14,101.53,103.33,
2012-09-15,101.53,103.32,
2012-09-16,101.53,103.3,
2012-09-17,101.53,103.3,
2012-09-18,101.53,103.31,
2012-09-19,101.53,103.32,
2012-09-20,101.53,103.32,
2012-09-21,101.53,103.32,
2012-09-22,101.53,103.32,
2012-09-23,101.53,103.3,
2012-09-24,101.53,103.31,
2012-09-25,101.53,103.31,
2012-09-26,101.53,103.24,
2012-09-27,99.11,103.14,
2012-09-28,99.06,103.04,
2012-09-29,98.99,102.95,
2012-09-30,98.93,102.85,
2012-10-01,98.85,102.75,
2012-10-02,98.76,102.63,
2012-10-03,98.68,102.5,
2012-10-04,98.59,102.39,
2012-10-05,98.51,102.28,
2012-10-06,98.44,102.18,
2012-10-07,98.35,102.07,
2012-10-08,98.3,101.99,
2012-10-09,98.24,101.91,
2012-10-10,98.2,101.83,
2012-10-11,98.16,101.76,
2012-10-12,98.16,101.7,
2012-10-13,98.16,101.63,
2012-10-14,98.16,101.56,
2012-10-15,97.9,101.5,
2012-10-16,97.86,101.44,
2012-10-17,97.8,101.37,
2012-10-18,97.74,101.29,
2012-10-19,97.69,101.22,
2012-10-20,97.63,101.16,
2012-10-21,97.56,101.08,
2012-10-22,97.52,101.03,
2012-10-23,97.49,101.03,
2012-10-24,97.44,101.03,
2012-10-25,97.4,101.03,
2012-10-26,97.33,100.85,
2012-10-27,97.36,100.85,
2012-10-28,97.45,100.85,
2012-10-29,97.48,100.92,
2012-10-30,97.48,101.0,
2012-10-31,97.48,101.04,
2012-11-01,97.48,101.08,
2012-11-02,97.49,101.13,
2012-11-03,97.49,101.16,
2012-11-04,97.49,101.17,
2012-11-05,99.27,101.89,
2012-11-06,99.88,103.06,
2012-11-07,99.92,103.64,
2012-11-08,99.92,104.04,
2012-11-09,99.92,104.37,
2012-11-10,99.93,104.74,
2012-11-11,99.93,106.18,
2012-11-12,99.93,107.33,
2012-11-13,99.93,107.93,
2012-11-14,99.93,108.29,
2012-11-15,99.93,108.54,
2012-11-16,99.93,108.73,
2012-11-17,99.93,108.86,
2012-11-18,99.93,108.97,
2012-11-19,99.93,109.04,
2012-11-20,99.93,109.1,
2012-11-21,99.93,109.15,
2012-11-22,99.93,109.2,
2012-11-23,99.93,109.44,
2012-11-24,99.93,109.56,
2012-11-25,99.93,109.68,
2012-11-26,99.93,109.75,
2012-11-27,99.93,110.08,
2012-11-28,99.93,110.69,
2012-11-29,99.93,111.01,
2012-11-30,99.93,111.14,
2012-12-01,99.93,111.19,
2012-12-02,99.93,111.23,
2012-12-03,99.93,111.22,
2012-12-04,99.93,111.26,
2012-12-05,99.93,111.27,
2012-12-06,99.93,111.25,
2012-12-07,99.93,111.22,
2012-12-08,99.93,111.2,
2012-12-09,99.93,111.15,
2012-12-10,99.93,111.13,
2012-12-11,99.93,111.1,
2012-12-12,99.93,111.07,98.9
2012-12-13,99.93,111.03,98.89
2012-12-14,99.93,111.02,98.93
2012-12-15,99.93,111.21,99.22
2012-12-16,99.93,111.3,99.24
2012-12-17,99.93,111.32,99.2
2012-12-18,99.93,111.31,99.15
2012-12-19,99.93,111.3,99.1
2012-12-20,99.93,,99.06
2012-12-21,99.93,111.25,99.03
2012-12-22,99.93,111.22,99.0
2012-12-23,99.93,111.19,98.97
2012-12-24,99.93,111.16,98.95
2012-12-25,99.93,111.15,98.94
2012-12-26,99.93,111.15,98.93
2012-12-27,99.93,111.18,98.9
2012-12-28,99.93,111.17,98.89
2012-12-29,99.93,111.13,98.86
2012-12-30,99.93,111.09,98.84
2012-12-31,99.93,111.04,98.81
2013-01-01,99.93,110.99,98.78
2013-01-02,99.93,110.95,98.77
2013-01-03,99.93,110.9,98.74
2013-01-04,99.93,110.85,98.72
2013-01-05,99.93,110.82,98.7
2013-01-06,99.93,110.79,98.68
2013-01-07,99.93,110.77,98.66
2013-01-08,99.93,110.75,98.65
2013-01-09,99.93,110.7,98.63
2013-01-10,99.93,110.69,98.62
2013-01-11,99.93,110.68,98.61
2013-01-12,99.93,110.65,98.58
2013-01-13,99.93,110.6,98.57
2013-01-14,99.93,110.58,98.55
2013-01-15,99.93,110.55,98.54
2013-01-16,99.93,110.52,98.52
2013-01-17,99.93,110.47,98.5
2013-01-18,99.93,110.4,98.47
2013-01-19,99.93,110.34,98.48
2013-01-20,99.93,110.59,99.04
2013-01-21,99.93,111.02,99.24
2013-01-22,99.93,111.1,99.17
2013-01-23,99.93,111.11,99.13
2013-01-24,99.93,111.11,99.1
2013-01-25,104.35,111.11,99.07
2013-01-26,104.34,111.08,99.05
2013-01-27,104.31,111.03,99.03
2013-01-28,104.3,111.0,99.02
2013-01-29,104.28,110.98,98.99
2013-01-30,104.26,111.2,98.97
2013-01-31,104.27,111.22,98.97
2013-02-01,104.29,111.24,98.97
2013-02-02,104.32,111.27,99.0
2013-02-03,104.31,111.27,98.98
2013-02-04,104.27,111.19,98.95
2013-02-05,104.25,111.14,98.92
2013-02-06,104.24,111.12,98.9
2013-02-07,104.22,111.09,98.87
2013-02-08,104.19,111.04,98.84
2013-02-09,104.16,110.98,98.81
2013-02-10,104.12,110.91,98.78
2013-02-11,104.11,110.9,98.78
2013-02-12,104.1,110.89,98.76
2013-02-13,104.08,110.81,98.74
2013-02-14,104.06,110.73,98.71
2013-02-15,104.04,110.68,98.69
2013-02-16,104.02,110.65,98.66
2013-02-17,103.99,110.63,98.65
2013-02-18,103.99,110.62,98.65
2013-02-19,103.99,110.61,98.63
2013-02-20,103.98,110.59,98.61
2013-02-21,103.97,110.56,98.6
2013-02-22,103.96,110.6,98.59
2013-02-23,103.96,110.58,98.57
2013-02-24,103.93,110.55,98.56
2013-02-25,103.92,110.51,98.54
2013-02-26,103.91,110.47,98.52
2013-02-27,103.89,110.43,98.51
2013-02-28,103.88,110.39,98.49
2013-03-01,103.87,110.36,98.49
2013-03-02,103.86,110.33,98.47
2013-03-03,103.84,110.31,98.47
2013-03-04,103.85,110.31,98.47
2013-03-05,103.85,110.28,98.47
2013-03-06,104.03,110.25,98.72
2013-03-07,104.55,110.69,99.33
2013-03-08,104.83,111.12,99.61
2013-03-09,104.83,111.45,99.56
2013-03-10,104.71,111.5,99.46
2013-03-11,104.6,111.5,99.39
2013-03-12,104.54,111.49,99.35
2013-03-13,104.5,111.45,99.32
2013-03-14,104.47,111.4,99.28
2013-03-15,104.44,111.35,99.25
2013-03-16,104.39,111.26,99.2
2013-03-17,104.35,111.19,99.17
2013-03-18,104.5,111.22,99.3
2013-03-19,104.51,111.28,99.31
2013-03-20,104.48,111.29,99.27
2013-03-21,104.45,111.28,99.24
2013-03-22,104.42,111.27,99.22
2013-03-23,104.43,111.28,99.2
2013-03-24,104.61,111.34,99.34
2013-03-25,104.7,111.54,99.48
2013-03-26,104.7,111.61,99.45
2013-03-27,104.65,111.62,99.39
2013-03-28,104.6,111.59,99.34
2013-03-29,104.61,111.61,99.36
2013-03-30,104.7,111.64,99.41
2013-03-31,104.71,111.7,99.43
2013-04-01,104.68,111.68,99.37
2013-04-02,104.62,111.62,99.32
2013-04-03,104.57,111.54,99.28
2013-04-04,104.52,111.45,99.24
2013-04-05,104.51,111.38,99.25
2013-04-06,104.49,111.3,99.22
2013-04-07,104.47,111.23,99.19
2013-04-08,104.44,111.17,99.16
2013-04-09,104.43,111.12,99.14
2013-04-10,104.39,111.05,99.1
2013-04-11,104.35,110.98,99.07
2013-04-12,104.35,110.94,99.05
2013-04-13,104.37,110.93,99.06
2013-04-14,104.36,110.9,99.05
2013-04-15,104.4,110.91,99.05
2013-04-16,104.42,110.94,99.06
2013-04-17,104.47,110.99,99.09
2013-04-18,104.5,111.04,99.11
2013-04-19,104.54,111.09,99.15
2013-04-20,104.57,111.14,99.16
2013-04-21,104.54,111.12,99.11
2013-04-22,104.42,111.01,99.03
2013-04-23,104.34,110.89,98.98
2013-04-24,104.28,110.8,98.94
2013-04-25,104.26,110.74,98.92
2013-04-26,104.33,110.68,98.92
2013-04-27,104.57,110.82,99.08
2013-04-28,104.65,111.03,99.18
2013-04-29,105.22,111.52,99.68
2013-04-30,105.54,112.07,99.95
2013-05-01,105.5,112.25,99.87
2013-05-02,105.27,112.28,99.76
2013-05-03,105.11,112.28,99.67
2013-05-04,105.01,112.24,99.62
2013-05-05,104.92,112.17,99.55
2013-05-06,104.85,112.09,99.49
2013-05-07,104.79,112.03,99.45
2013-05-08,104.73,111.97,99.4
2013-05-09,104.69,111.93,99.37
2013-05-10,104.8,111.98,99.41
2013-05-11,104.81,112.04,99.42
2013-05-12,104.74,112.03,99.35
2013-05-13,104.65,111.97,99.29
2013-05-14,104.61,111.93,99.24
2013-05-15,104.56,111.92,99.21
2013-05-16,104.83,112.02,99.38
2013-05-17,104.96,112.15,99.45
2013-05-18,105.17,112.17,99.54
2013-05-19,105.49,112.59,100.05
2013-05-20,105.31,112.59,99.85
2013-05-21,105.09,112.51,99.74
2013-05-22,104.96,112.42,99.66
2013-05-23,104.91,112.35,99.65
2013-05-24,104.84,112.27,99.61
2013-05-25,104.76,112.18,99.55
2013-05-26,104.69,112.07,99.49
2013-05-27,104.63,111.99,99.44
2013-05-28,104.59,111.95,99.41
2013-05-29,104.63,111.95,99.4
2013-05-30,104.61,111.91,99.35
2013-05-31,104.58,111.85,99.32
2013-06-01,104.54,111.8,99.29
2013-06-02,104.51,111.76,99.27
2013-06-03,104.55,111.77,99.27
2013-06-04,104.57,111.76,99.27
2013-06-05,104.53,111.71,99.18
2013-06-06,104.49,111.7,99.14
2013-06-07,104.51,111.72,99.12
2013-06-08,104.52,111.72,99.08
2013-06-09,104.67,111.69,99.09
2013-06-10,104.67,111.74,99.12
2013-06-11,104.56,111.66,99.03
2013-06-12,104.49,111.6,98.99
2013-06-13,104.49,111.6,98.97
2013-06-14,104.52,111.62,98.98
2013-06-15,104.54,111.63,98.98
2013-06-16,104.55,111.64,98.98
2013-06-17,104.56,111.64,98.98
2013-06-18,104.56,111.63,98.98
2013-06-19,104.53,111.57,98.96
2013-06-20,104.51,111.5,98.95
2013-06-21,104.51,111.45,98.93
2013-06-22,104.42,111.32,98.87
2013-06-23,104.35,111.19,98.82
2013-06-24,104.3,111.08,98.78
2013-06-25,104.27,110.97,98.74
2013-06-26,104.22,110.86,98.7
2013-06-27,104.18,110.77,98.66
2013-06-28,104.17,110.68,98.63
2013-06-29,104.13,110.56,98.6
2013-06-30,104.09,110.46,98.56
2013-07-01,104.09,110.38,98.54
2013-07-02,104.1,110.33,98.54
2013-07-03,104.05,110.13,98.51
2013-07-04,104.02,109.99,98.47
2013-07-05,103.99,109.9,98.45
2013-07-06,103.98,109.83,98.44
2013-07-07,104.01,109.78,98.47
2013-07-08,103.96,109.6,98.4
2013-07-09,103.91,109.39,98.33
2013-07-10,103.8,109.14,98.26
2013-07-11,103.77,109.03,98.25
2013-07-12,103.67,108.85,98.18
2013-07-13,103.58,108.68,98.14
2013-07-14,103.48,108.51,98.09
2013-07-15,103.44,108.39,98.07
2013-07-16,103.17,108.17,97.9
2013-07-17,103.03,107.98,97.83
2013-07-18,102.92,107.8,97.78
2013-07-19,102.75,107.64,97.72
2013-07-20,102.66,107.47,97.68
2013-07-21,102.48,107.25,97.6
2013-07-22,102.33,107.03,97.54
2013-07-23,102.24,106.88,97.49
2013-07-24,102.0,106.58,97.37
2013-07-25,101.81,106.35,97.31
2013-07-26,101.69,106.17,97.27
2013-07-27,101.59,105.99,97.22
2013-07-28,101.5,105.85,97.17
2013-07-29,101.44,105.74,97.16
2013-07-30,101.34,105.59,97.06
2013-07-31,101.16,105.4,96.95
2013-08-01,101.03,105.23,96.88
2013-08-02,100.93,105.09,96.83
2013-08-03,100.85,104.94,96.79
2013-08-04,100.75,104.81,96.76
2013-08-05,100.68,104.69,96.72
2013-08-06,100.61,104.58,96.69
2013-08-07,100.55,104.49,96.65
2013-08-08,100.49,104.4,96.61
2013-08-09,100.44,104.31,96.59
2013-08-10,100.36,104.21,96.55
2013-08-11,100.31,104.14,96.52
2013-08-12,100.25,104.08,96.49
2013-08-13,100.23,104.18,96.45
2013-08-14,100.24,104.21,96.41
2013-08-15,100.23,104.16,96.37
2013-08-16,100.09,103.99,96.27
2013-08-17,99.97,103.87,96.19
2013-08-18,99.89,103.76,96.14
2013-08-19,99.82,103.67,96.08
2013-08-20,99.77,103.72,96.04
2013-08-21,99.77,103.68,95.99
2013-08-22,99.75,103.69,95.96
2013-08-23,99.72,103.72,95.92
2013-08-24,99.72,103.7,95.9
2013-08-25,99.71,103.69,95.88
2013-08-26,99.63,103.61,95.83
2013-08-27,99.57,103.53,95.79
2013-08-28,99.49,103.44,95.74
2013-08-29,99.55,103.67,95.7
2013-08-30,99.62,103.84,95.67
2013-08-31,99.67,103.95,95.66
2013-09-01,99.73,104.04,95.65
2013-09-02,99.77,104.13,95.64
2013-09-03,99.82,104.21,95.64
2013-09-04,99.94,104.36,95.64
2013-09-05,100.07,104.53,95.67
2013-09-06,100.16,104.66,95.7
2013-09-07,100.22,104.75,95.72
2013-09-08,100.27,104.84,95.75
2013-09-09,100.28,104.89,95.76
2013-09-10,100.34,104.98,95.74
2013-09-11,100.42,105.09,95.76
2013-09-12,100.49,105.17,95.78
2013-09-13,100.53,105.24,95.79
2013-09-14,100.57,105.3,95.8
2013-09-15,100.61,105.35,95.82
2013-09-16,100.62,105.39,95.83
2013-09-17,100.62,105.39,95.82
2013-09-18,100.6,105.38,95.8
2013-09-19,100.59,105.39,95.8
2013-09-20,100.58,105.38,95.79
2013-09-21,100.57,105.36,95.77
2013-09-22,100.53,105.32,95.76
2013-09-23,100.51,105.3,95.75
2013-09-24,100.52,105.34,95.75
2013-09-25,100.54,105.38,95.75
2013-09-26,100.55,105.41,95.75
2013-09-27,100.58,105.44,95.76
2013-09-28,100.58,105.45,95.76
2013-09-29,100.6,105.47,95.77
2013-09-30,100.6,105.45,95.75
2013-10-01,100.53,105.35,95.72
2013-10-02,100.48,105.31,95.69
2013-10-03,100.48,105.28,95.69
2013-10-04,100.45,105.27,95.68
2013-10-05,100.45,105.29,95.69
2013-10-06,100.42,105.1,95.64
2013-10-07,100.3,104.86,95.6
2013-10-08,100.19,104.74,95.55
2013-10-09,100.12,104.69,95.52
2013-10-10,100.11,104.66,95.5
2013-10-11,100.08,104.64,95.47
2013-10-12,100.08,104.59,95.44
2013-10-13,100.02,104.53,95.41
2013-10-14,100.01,104.5,95.39
2013-10-15,99.99,104.46,95.37
2013-10-16,99.94,104.43,95.35
2013-10-17,99.93,104.4,95.33
2013-10-18,99.89,104.38,95.32
2013-10-19,99.89,104.36,95.31
2013-10-20,99.87,104.36,95.3
2013-10-21,99.87,104.36,95.29
2013-10-22,99.87,104.34,95.28
2013-10-23,99.92,104.37,95.29
2013-10-24,99.99,104.43,95.33
2013-10-25,99.93,104.37,95.31
2013-10-26,99.91,104.42,95.29
2013-10-27,99.92,104.46,95.29
2013-10-28,99.93,104.49,95.3
2013-10-29,99.96,104.53,95.31
2013-10-30,99.98,104.57,95.31
2013-10-31,99.98,104.58,95.32
2013-11-01,99.98,104.58,95.33
2013-11-02,99.99,104.59,95.34
2013-11-03,100.0,104.6,95.34
2013-11-04,100.0,104.6,95.34
2013-11-05,100.0,104.57,95.34
2013-11-06,99.97,104.55,95.33
2013-11-07,99.96,104.51,95.33
2013-11-08,99.95,104.52,95.32
2013-11-09,99.95,104.52,95.32
2013-11-10,99.92,104.51,95.32
2013-11-11,99.92,104.5,95.29
2013-11-12,99.87,104.42,95.27
2013-11-13,99.84,104.39,95.25
2013-11-14,99.83,104.38,95.24
2013-11-15,99.82,104.39,95.25
2013-11-16,99.82,104.37,95.24
2013-11-17,99.78,104.31,95.21
2013-11-18,99.74,104.27,95.2
2013-11-19,99.73,104.29,95.22
2013-11-20,99.73,104.31,95.22
2013-11-21,99.73,104.3,95.21
2013-11-22,99.72,104.25,95.19
2013-11-23,99.68,104.21,95.17
2013-11-24,99.66,104.18,95.16
2013-11-25,99.64,104.16,95.15
2013-11-26,99.62,104.14,95.13
2013-11-27,99.6,104.11,95.12
2013-11-28,99.57,104.07,95.1
2013-11-29,99.53,104.02,95.09
2013-11-30,99.49,103.97,95.06
2013-12-01,99.45,103.93,95.05
2013-12-02,99.43,103.92,95.03
2013-12-03,99.41,103.92,95.01
2013-12-04,99.4,103.9,95.0
2013-12-05,99.37,103.86,94.98
2013-12-06,99.33,103.82,94.95
2013-12-07,99.3,103.78,94.93
2013-12-08,99.25,103.75,94.91
2013-12-09,99.24,103.74,94.9
2013-12-10,99.22,103.71,94.89
2013-12-11,99.2,103.69,94.87
2013-12-12,99.18,103.67,94.86
2013-12-13,99.16,103.64,94.84
2013-12-14,99.13,103.61,94.82
2013-12-15,99.07,103.57,94.8
2013-12-16,99.07,103.55,94.79
2013-12-17,99.05,103.53,94.78
2013-12-18,99.02,103.5,94.76
2013-12-19,99.0,103.47,94.74
2013-12-20,99.18,103.6,94.96
2013-12-21,99.29,103.68,95.09
2013-12-22,99.4,103.76,95.18
2013-12-23,99.47,103.82,95.24
2013-12-24,99.53,103.88,95.31
2013-12-25,100.13,104.71,97.26
2013-12-26,103.22,106.95,98.34
2013-12-27,103.23,108.05,98.36
2013-12-28,103.23,108.6,98.4
2013-12-29,103.23,109.03,98.48
2013-12-30,103.23,109.3,98.51
2013-12-31,103.23,109.49,98.54
2014-01-01,103.23,109.61,98.54
2014-01-02,103.23,109.75,98.6
2014-01-03,103.23,109.89,98.63
2014-01-04,103.23,110.08,98.82
2014-01-05,103.24,110.68,99.18
2014-01-06,103.24,110.87,99.15
2014-01-07,103.24,110.94,99.05
2014-01-08,103.23,110.98,98.98
2014-01-09,103.23,111.02,98.94
2014-01-10,103.23,111.03,98.9
2014-01-11,103.23,111.03,98.86
2014-01-12,103.23,111.02,98.83
2014-01-13,103.24,111.02,98.8
2014-01-14,103.24,111.04,98.81
2014-01-15,103.23,111.04,98.79
2014-01-16,103.23,111.01,98.77
2014-01-17,103.23,111.41,99.31
2014-01-18,103.23,111.64,99.31
2014-01-19,103.24,112.16,99.86
2014-01-20,103.24,112.41,99.91
2014-01-21,103.24,112.43,99.81
2014-01-22,103.24,112.39,99.68
2014-01-23,103.24,112.31,99.59
2014-01-24,103.24,112.25,99.51
2014-01-25,103.24,112.17,99.45
2014-01-26,103.26,112.08,99.38
2014-01-27,103.26,112.01,99.34
2014-01-28,103.26,111.95,99.29
2014-01-29,103.26,111.87,99.25
2014-01-30,103.26,111.8,99.21
2014-01-31,103.27,111.75,99.21
2014-02-01,103.27,111.72,99.21
2014-02-02,103.27,111.68,99.17
2014-02-03,103.27,111.65,99.16
