Wl (nm),  MAC (m2 g-1)
350.000,  0.57863
351.000,  0.57587
352.000,  0.57309
353.000,  0.57030
354.000,  0.56751
355.000,  0.56472
356.000,  0.56195
357.000,  0.55917
358.000,  0.55638
359.000,  0.55358
360.000,  0.55077
361.000,  0.54797
362.000,  0.54518
363.000,  0.54240
364.000,  0.53961
365.000,  0.53680
366.000,  0.53398
367.000,  0.53115
368.000,  0.52830
369.000,  0.52545
370.000,  0.52261
371.000,  0.51977
372.000,  0.51692
373.000,  0.51406
374.000,  0.51118
375.000,  0.50831
376.000,  0.50544
377.000,  0.50257
378.000,  0.49970
379.000,  0.49683
380.000,  0.49395
381.000,  0.49105
382.000,  0.48814
383.000,  0.48522
384.000,  0.48229
385.000,  0.47936
386.000,  0.47644
387.000,  0.47351
388.000,  0.47058
389.000,  0.46763
390.000,  0.46468
391.000,  0.46172
392.000,  0.45877
393.000,  0.45582
394.000,  0.45287
395.000,  0.44991
396.000,  0.44696
397.000,  0.44399
398.000,  0.44101
399.000,  0.43802
400.000,  0.43502
401.000,  0.43202
402.000,  0.42903
403.000,  0.42605
404.000,  0.42307
405.000,  0.42007
406.000,  0.41707
407.000,  0.41406
408.000,  0.41105
409.000,  0.40806
410.000,  0.40507
411.000,  0.40208
412.000,  0.39909
413.000,  0.39610
414.000,  0.39311
415.000,  0.39012
416.000,  0.38711
417.000,  0.38411
418.000,  0.38110
419.000,  0.37811
420.000,  0.37514
421.000,  0.37216
422.000,  0.36919
423.000,  0.36622
424.000,  0.36324
425.000,  0.36027
426.000,  0.35731
427.000,  0.35436
428.000,  0.35142
429.000,  0.34849
430.000,  0.34557
431.000,  0.34265
432.000,  0.33974
433.000,  0.33684
434.000,  0.33393
435.000,  0.33103
436.000,  0.32813
437.000,  0.32526
438.000,  0.32240
439.000,  0.31956
440.000,  0.31673
441.000,  0.31390
442.000,  0.31108
443.000,  0.30827
444.000,  0.30547
445.000,  0.30269
446.000,  0.29994
447.000,  0.29719
448.000,  0.29446
449.000,  0.29175
450.000,  0.28905
451.000,  0.28636
