Wl (nm),  MAC (m2 g-1)
350.000,  0.28049
351.000,  0.27965
352.000,  0.27882
353.000,  0.27800
354.000,  0.27716
355.000,  0.27631
356.000,  0.27547
357.000,  0.27462
358.000,  0.27377
359.000,  0.27291
360.000,  0.27203
361.000,  0.27115
362.000,  0.27026
363.000,  0.26938
364.000,  0.26853
365.000,  0.26768
366.000,  0.26680
367.000,  0.26588
368.000,  0.26495
369.000,  0.26401
370.000,  0.26311
371.000,  0.26221
372.000,  0.26130
373.000,  0.26038
374.000,  0.25945
375.000,  0.25852
376.000,  0.25759
377.000,  0.25665
378.000,  0.25570
379.000,  0.25475
380.000,  0.25378
381.000,  0.25280
382.000,  0.25182
383.000,  0.25086
384.000,  0.24992
385.000,  0.24896
386.000,  0.24798
387.000,  0.24696
388.000,  0.24592
389.000,  0.24490
390.000,  0.24389
391.000,  0.24290
392.000,  0.24189
393.000,  0.24086
394.000,  0.23983
395.000,  0.23880
396.000,  0.23777
397.000,  0.23673
398.000,  0.23568
399.000,  0.23462
400.000,  0.23356
401.000,  0.23249
402.000,  0.23140
403.000,  0.23032
404.000,  0.22925
405.000,  0.22820
406.000,  0.22714
407.000,  0.22605
408.000,  0.22493
409.000,  0.22379
410.000,  0.22266
411.000,  0.22155
412.000,  0.22045
413.000,  0.21936
414.000,  0.21824
415.000,  0.21710
416.000,  0.21597
417.000,  0.21484
418.000,  0.21371
419.000,  0.21258
420.000,  0.21143
421.000,  0.21028
422.000,  0.20913
423.000,  0.20797
424.000,  0.20680
425.000,  0.20563
426.000,  0.20447
427.000,  0.20333
428.000,  0.20220
429.000,  0.20106
430.000,  0.19987
431.000,  0.19866
432.000,  0.19746
433.000,  0.19627
434.000,  0.19510
435.000,  0.19394
436.000,  0.19279
437.000,  0.19161
438.000,  0.19042
439.000,  0.18923
440.000,  0.18805
441.000,  0.18689
442.000,  0.18571
443.000,  0.18453
444.000,  0.18334
445.000,  0.18216
446.000,  0.18099
447.000,  0.17981
448.000,  0.17861
449.000,  0.17742
450.000,  0.17625
451.000,  0.17511
452.000,  0.17399
453.000,  0.17284
454.000,  0.17166
455.000,  0.17046
456.000,  0.16926
457.000,  0.16809
458.000,  0.16694
459.000,  0.16581
460.000,  0.16469
461.000,  0.16356
462.000,  0.16241
463.000,  0.16125
464.000,  0.16011
465.000,  0.15900
466.000,  0.15789
467.000,  0.15678
468.000,  0.15565
469.000,  0.15453
470.000,  0.15343
471.000,  0.15235
472.000,  0.15125
473.000,  0.15015
474.000,  0.14904
475.000,  0.14795
476.000,  0.14690
477.000,  0.14589
478.000,  0.14487
479.000,  0.14382
480.000,  0.14274
481.000,  0.14166
482.000,  0.14060
483.000,  0.13957
484.000,  0.13856
485.000,  0.13757
486.000,  0.13660
487.000,  0.13562
488.000,  0.13462
489.000,  0.13361
490.000,  0.13262
491.000,  0.13167
492.000,  0.13073
493.000,  0.12980
494.000,  0.12884
495.000,  0.12789
496.000,  0.12696
497.000,  0.12605
498.000,  0.12516
499.000,  0.12425
500.000,  0.12334
501.000,  0.12242
502.000,  0.12153
503.000,  0.12069
504.000,  0.11988
505.000,  0.11907
506.000,  0.11823
507.000,  0.11737
508.000,  0.11650
509.000,  0.11565
510.000,  0.11483
511.000,  0.11403
512.000,  0.11324
513.000,  0.11249
514.000,  0.11175
515.000,  0.11099
516.000,  0.11021
517.000,  0.10943
518.000,  0.10867
519.000,  0.10795
520.000,  0.10726
521.000,  0.10656
522.000,  0.10584
523.000,  0.10512
524.000,  0.10442
525.000,  0.10374
526.000,  0.10309
527.000,  0.10243
528.000,  0.10177
529.000,  0.10108
530.000,  0.10041
531.000,  0.09977
532.000,  0.09918
533.000,  0.09862
534.000,  0.09805
535.000,  0.09744
536.000,  0.09681
537.000,  0.09618
538.000,  0.09558
539.000,  0.09500
540.000,  0.09443
541.000,  0.09388
542.000,  0.09335
543.000,  0.09285
544.000,  0.09234
545.000,  0.09179
546.000,  0.09124
547.000,  0.09070
548.000,  0.09019
549.000,  0.08972
550.000,  0.08926
551.000,  0.08878
552.000,  0.08829
553.000,  0.08779
554.000,  0.08732
555.000,  0.08686
556.000,  0.08643
557.000,  0.08599
558.000,  0.08555
559.000,  0.08510
560.000,  0.08463
561.000,  0.08419
562.000,  0.08379
563.000,  0.08343
564.000,  0.08307
565.000,  0.08270
566.000,  0.08229
567.000,  0.08186
568.000,  0.08144
569.000,  0.08104
570.000,  0.08067
571.000,  0.08031
572.000,  0.07994
573.000,  0.07960
574.000,  0.07929
575.000,  0.07897
576.000,  0.07862
577.000,  0.07826
578.000,  0.07790
579.000,  0.07756
580.000,  0.07725
581.000,  0.07696
582.000,  0.07668
583.000,  0.07637
584.000,  0.07604
585.000,  0.07572
586.000,  0.07542
587.000,  0.07514
588.000,  0.07487
589.000,  0.07460
590.000,  0.07432
591.000,  0.07403
592.000,  0.07372
593.000,  0.07342
594.000,  0.07317
595.000,  0.07294
596.000,  0.07274
597.000,  0.07252
598.000,  0.07228
599.000,  0.07200
600.000,  0.07172
601.000,  0.07145
602.000,  0.07120
603.000,  0.07096
604.000,  0.07074
605.000,  0.07051
606.000,  0.07030
607.000,  0.07011
608.000,  0.06993
609.000,  0.06971
610.000,  0.06947
611.000,  0.06924
612.000,  0.06901
613.000,  0.06881
614.000,  0.06862
615.000,  0.06846
616.000,  0.06828
617.000,  0.06807
618.000,  0.06786
619.000,  0.06766
620.000,  0.06747
621.000,  0.06729
622.000,  0.06713
623.000,  0.06696
624.000,  0.06678
625.000,  0.06660
626.000,  0.06639
627.000,  0.06619
628.000,  0.06602
629.000,  0.06588
630.000,  0.06576
631.000,  0.06564
632.000,  0.06550
633.000,  0.06533
634.000,  0.06514
635.000,  0.06495
636.000,  0.06477
637.000,  0.06461
638.000,  0.06446
639.000,  0.06432
640.000,  0.06417
641.000,  0.06404
642.000,  0.06393
643.000,  0.06382
644.000,  0.06367
645.000,  0.06352
646.000,  0.06336
647.000,  0.06320
648.000,  0.06306
649.000,  0.06294
650.000,  0.06283
651.000,  0.06273
652.000,  0.06260
653.000,  0.06246
654.000,  0.06231
655.000,  0.06218
656.000,  0.06205
657.000,  0.06194
658.000,  0.06184
659.000,  0.06172
660.000,  0.06161
661.000,  0.06148
662.000,  0.06134
663.000,  0.06119
664.000,  0.06107
665.000,  0.06098
666.000,  0.06090
667.000,  0.06083
668.000,  0.06075
669.000,  0.06064
670.000,  0.06051
671.000,  0.06037
672.000,  0.06024
673.000,  0.06012
674.000,  0.06000
675.000,  0.05990
676.000,  0.05981
677.000,  0.05970
678.000,  0.05961
679.000,  0.05954
680.000,  0.05947
681.000,  0.05938
682.000,  0.05927
683.000,  0.05915
684.000,  0.05903
685.000,  0.05893
686.000,  0.05883
687.000,  0.05875
688.000,  0.05869
689.000,  0.05861
690.000,  0.05852
691.000,  0.05841
692.000,  0.05830
693.000,  0.05820
694.000,  0.05812
695.000,  0.05804
696.000,  0.05796
697.000,  0.05788
698.000,  0.05780
699.000,  0.05771
700.000,  0.05760
701.000,  0.05749
702.000,  0.05739
703.000,  0.05731
704.000,  0.05725
705.000,  0.05721
706.000,  0.05716
707.000,  0.05710
708.000,  0.05701
709.000,  0.05691
710.000,  0.05680
711.000,  0.05669
712.000,  0.05660
713.000,  0.05651
714.000,  0.05644
715.000,  0.05637
716.000,  0.05629
717.000,  0.05622
718.000,  0.05616
719.000,  0.05611
720.000,  0.05605
721.000,  0.05597
722.000,  0.05588
723.000,  0.05579
724.000,  0.05569
725.000,  0.05562
726.000,  0.05555
727.000,  0.05549
728.000,  0.05544
729.000,  0.05538
730.000,  0.05531
731.000,  0.05522
732.000,  0.05514
733.000,  0.05506
734.000,  0.05499
735.000,  0.05492
736.000,  0.05487
737.000,  0.05481
738.000,  0.05474
739.000,  0.05467
740.000,  0.05460
741.000,  0.05450
742.000,  0.05441
743.000,  0.05434
744.000,  0.05428
745.000,  0.05424
746.000,  0.05421
747.000,  0.05417
748.000,  0.05412
749.000,  0.05405
750.000,  0.05397
751.000,  0.05388
752.000,  0.05379
753.000,  0.05371
754.000,  0.05363
755.000,  0.05357
756.000,  0.05351
757.000,  0.05345
758.000,  0.05338
759.000,  0.05333
760.000,  0.05329
761.000,  0.05326
762.000,  0.05320
763.000,  0.05313
764.000,  0.05306
765.000,  0.05297
766.000,  0.05290
767.000,  0.05283
768.000,  0.05277
769.000,  0.05272
770.000,  0.05269
771.000,  0.05264
772.000,  0.05258
773.000,  0.05252
774.000,  0.05244
775.000,  0.05237
776.000,  0.05231
777.000,  0.05225
778.000,  0.05220
779.000,  0.05215
780.000,  0.05210
781.000,  0.05204
782.000,  0.05198
783.000,  0.05192
784.000,  0.05184
785.000,  0.05176
786.000,  0.05169
787.000,  0.05165
788.000,  0.05161
789.000,  0.05158
790.000,  0.05155
791.000,  0.05152
792.000,  0.05147
793.000,  0.05140
794.000,  0.05132
795.000,  0.05124
796.000,  0.05116
797.000,  0.05110
798.000,  0.05103
799.000,  0.05098
800.000,  0.05093
