Wl (nm),  MAC (m2 g-1)
350.000,  0.64778
351.000,  0.64432
352.000,  0.64087
353.000,  0.63742
354.000,  0.63397
355.000,  0.63051
356.000,  0.62704
357.000,  0.62358
358.000,  0.62011
359.000,  0.61664
360.000,  0.61317
361.000,  0.60970
362.000,  0.60622
363.000,  0.60274
364.000,  0.59926
365.000,  0.59578
366.000,  0.59231
367.000,  0.58883
368.000,  0.58535
369.000,  0.58186
370.000,  0.57837
371.000,  0.57487
372.000,  0.57137
373.000,  0.56786
374.000,  0.56436
375.000,  0.56084
376.000,  0.55733
377.000,  0.55381
378.000,  0.55029
379.000,  0.54677
380.000,  0.54326
381.000,  0.53974
382.000,  0.53621
383.000,  0.53268
384.000,  0.52914
385.000,  0.52560
386.000,  0.52206
387.000,  0.51851
388.000,  0.51497
389.000,  0.51142
390.000,  0.50786
391.000,  0.50431
392.000,  0.50076
393.000,  0.49720
394.000,  0.49365
395.000,  0.49010
396.000,  0.48655
397.000,  0.48300
398.000,  0.47944
399.000,  0.47588
400.000,  0.47232
401.000,  0.46876
402.000,  0.46521
403.000,  0.46165
404.000,  0.45810
405.000,  0.45454
406.000,  0.45099
407.000,  0.44745
408.000,  0.44390
409.000,  0.44037
410.000,  0.43684
411.000,  0.43331
412.000,  0.42978
413.000,  0.42626
414.000,  0.42274
415.000,  0.41923
416.000,  0.41572
417.000,  0.41222
418.000,  0.40873
419.000,  0.40524
420.000,  0.40176
421.000,  0.39829
422.000,  0.39483
423.000,  0.39137
424.000,  0.38793
425.000,  0.38450
426.000,  0.38108
427.000,  0.37768
428.000,  0.37428
429.000,  0.37089
430.000,  0.36751
431.000,  0.36414
432.000,  0.36079
433.000,  0.35745
434.000,  0.35413
435.000,  0.35082
436.000,  0.34752
437.000,  0.34424
438.000,  0.34098
439.000,  0.33773
440.000,  0.33449
441.000,  0.33128
442.000,  0.32808
443.000,  0.32491
444.000,  0.32175
445.000,  0.31861
446.000,  0.31548
447.000,  0.31238
448.000,  0.30929
449.000,  0.30622
450.000,  0.30317
451.000,  0.30015
452.000,  0.29714
453.000,  0.29416
454.000,  0.29120
455.000,  0.28826
456.000,  0.28534
457.000,  0.28244
458.000,  0.27957
459.000,  0.27672
460.000,  0.27390
461.000,  0.27110
462.000,  0.26832
463.000,  0.26557
464.000,  0.26283
465.000,  0.26013
466.000,  0.25744
467.000,  0.25478
468.000,  0.25215
469.000,  0.24954
470.000,  0.24696
471.000,  0.24440
472.000,  0.24187
473.000,  0.23936
474.000,  0.23688
475.000,  0.23442
476.000,  0.23199
477.000,  0.22959
478.000,  0.22721
479.000,  0.22487
480.000,  0.22254
481.000,  0.22024
482.000,  0.21797
483.000,  0.21572
484.000,  0.21350
485.000,  0.21130
486.000,  0.20913
487.000,  0.20699
488.000,  0.20487
489.000,  0.20277
490.000,  0.20071
491.000,  0.19866
492.000,  0.19665
493.000,  0.19466
494.000,  0.19269
495.000,  0.19075
496.000,  0.18884
497.000,  0.18695
498.000,  0.18508
499.000,  0.18325
500.000,  0.18143
501.000,  0.17964
502.000,  0.17788
503.000,  0.17613
504.000,  0.17441
505.000,  0.17272
506.000,  0.17105
507.000,  0.16940
508.000,  0.16777
509.000,  0.16617
510.000,  0.16459
511.000,  0.16304
512.000,  0.16150
513.000,  0.15999
514.000,  0.15850
515.000,  0.15703
516.000,  0.15559
517.000,  0.15417
518.000,  0.15277
519.000,  0.15139
520.000,  0.15003
521.000,  0.14869
522.000,  0.14737
523.000,  0.14606
524.000,  0.14478
525.000,  0.14352
526.000,  0.14228
527.000,  0.14106
528.000,  0.13986
529.000,  0.13867
530.000,  0.13750
531.000,  0.13636
532.000,  0.13523
533.000,  0.13411
534.000,  0.13302
535.000,  0.13194
536.000,  0.13088
537.000,  0.12983
538.000,  0.12881
539.000,  0.12780
540.000,  0.12681
541.000,  0.12583
542.000,  0.12487
543.000,  0.12392
544.000,  0.12299
545.000,  0.12207
546.000,  0.12116
547.000,  0.12027
548.000,  0.11940
549.000,  0.11854
550.000,  0.11770
551.000,  0.11686
552.000,  0.11604
553.000,  0.11524
554.000,  0.11445
555.000,  0.11366
556.000,  0.11290
557.000,  0.11214
558.000,  0.11140
559.000,  0.11067
560.000,  0.10995
561.000,  0.10924
562.000,  0.10855
563.000,  0.10787
564.000,  0.10719
565.000,  0.10653
566.000,  0.10588
567.000,  0.10524
568.000,  0.10460
569.000,  0.10398
570.000,  0.10337
571.000,  0.10277
572.000,  0.10218
573.000,  0.10160
574.000,  0.10102
575.000,  0.10046
576.000,  0.09990
577.000,  0.09936
578.000,  0.09882
579.000,  0.09829
580.000,  0.09777
581.000,  0.09726
582.000,  0.09675
583.000,  0.09626
584.000,  0.09577
585.000,  0.09529
586.000,  0.09482
587.000,  0.09435
588.000,  0.09389
589.000,  0.09344
590.000,  0.09299
591.000,  0.09255
592.000,  0.09212
593.000,  0.09169
594.000,  0.09128
595.000,  0.09086
596.000,  0.09046
597.000,  0.09006
598.000,  0.08966
599.000,  0.08927
600.000,  0.08889
601.000,  0.08851
602.000,  0.08814
603.000,  0.08778
604.000,  0.08741
605.000,  0.08706
606.000,  0.08671
607.000,  0.08636
608.000,  0.08603
609.000,  0.08569
610.000,  0.08536
611.000,  0.08504
612.000,  0.08471
613.000,  0.08440
