Wl (nm),  MAC (m2 g-1)
350.000,  0.41105
351.000,  0.40949
352.000,  0.40794
353.000,  0.40640
354.000,  0.40486
355.000,  0.40331
356.000,  0.40176
357.000,  0.40022
358.000,  0.39866
359.000,  0.39706
360.000,  0.39546
361.000,  0.39386
362.000,  0.39230
363.000,  0.39074
364.000,  0.38919
365.000,  0.38761
366.000,  0.38598
367.000,  0.38434
368.000,  0.38270
369.000,  0.38108
370.000,  0.37945
371.000,  0.37782
372.000,  0.37617
373.000,  0.37453
374.000,  0.37289
375.000,  0.37124
376.000,  0.36956
377.000,  0.36786
378.000,  0.36616
379.000,  0.36447
380.000,  0.36280
381.000,  0.36114
382.000,  0.35946
383.000,  0.35776
384.000,  0.35602
385.000,  0.35427
386.000,  0.35252
387.000,  0.35078
388.000,  0.34905
389.000,  0.34730
390.000,  0.34554
391.000,  0.34377
392.000,  0.34202
393.000,  0.34026
394.000,  0.33847
395.000,  0.33667
396.000,  0.33485
397.000,  0.33304
398.000,  0.33124
399.000,  0.32945
400.000,  0.32767
401.000,  0.32587
402.000,  0.32405
403.000,  0.32219
404.000,  0.32033
405.000,  0.31847
406.000,  0.31662
407.000,  0.31478
408.000,  0.31293
409.000,  0.31106
410.000,  0.30919
411.000,  0.30733
412.000,  0.30547
413.000,  0.30361
414.000,  0.30172
415.000,  0.29981
416.000,  0.29790
417.000,  0.29600
418.000,  0.29412
419.000,  0.29225
420.000,  0.29038
421.000,  0.28850
422.000,  0.28661
423.000,  0.28469
424.000,  0.28275
425.000,  0.28083
426.000,  0.27892
427.000,  0.27703
428.000,  0.27513
429.000,  0.27322
430.000,  0.27130
431.000,  0.26939
432.000,  0.26750
433.000,  0.26562
434.000,  0.26372
435.000,  0.26181
436.000,  0.25988
437.000,  0.25796
438.000,  0.25606
439.000,  0.25418
440.000,  0.25231
441.000,  0.25045
442.000,  0.24859
443.000,  0.24672
444.000,  0.24484
445.000,  0.24294
446.000,  0.24104
447.000,  0.23917
448.000,  0.23733
449.000,  0.23550
450.000,  0.23367
451.000,  0.23182
452.000,  0.22997
453.000,  0.22814
454.000,  0.22634
455.000,  0.22455
456.000,  0.22276
457.000,  0.22095
458.000,  0.21913
459.000,  0.21733
460.000,  0.21556
461.000,  0.21380
462.000,  0.21206
463.000,  0.21034
464.000,  0.20864
465.000,  0.20693
466.000,  0.20521
467.000,  0.20349
468.000,  0.20177
469.000,  0.20006
470.000,  0.19838
471.000,  0.19673
472.000,  0.19511
473.000,  0.19348
474.000,  0.19184
475.000,  0.19020
476.000,  0.18859
477.000,  0.18701
478.000,  0.18546
479.000,  0.18391
480.000,  0.18235
481.000,  0.18078
482.000,  0.17923
483.000,  0.17770
484.000,  0.17620
485.000,  0.17471
486.000,  0.17325
487.000,  0.17181
488.000,  0.17039
489.000,  0.16896
490.000,  0.16754
491.000,  0.16611
492.000,  0.16468
493.000,  0.16327
494.000,  0.16189
495.000,  0.16055
496.000,  0.15924
497.000,  0.15793
498.000,  0.15662
499.000,  0.15529
500.000,  0.15398
501.000,  0.15271
502.000,  0.15148
503.000,  0.15027
504.000,  0.14905
505.000,  0.14782
506.000,  0.14658
507.000,  0.14538
508.000,  0.14420
509.000,  0.14304
510.000,  0.14190
511.000,  0.14078
512.000,  0.13968
513.000,  0.13860
514.000,  0.13753
515.000,  0.13645
516.000,  0.13537
517.000,  0.13430
518.000,  0.13323
519.000,  0.13219
520.000,  0.13118
521.000,  0.13021
522.000,  0.12925
523.000,  0.12829
524.000,  0.12732
525.000,  0.12635
526.000,  0.12539
527.000,  0.12447
528.000,  0.12359
529.000,  0.12273
530.000,  0.12186
531.000,  0.12097
532.000,  0.12008
533.000,  0.11921
534.000,  0.11837
535.000,  0.11755
536.000,  0.11674
537.000,  0.11594
538.000,  0.11517
539.000,  0.11441
540.000,  0.11366
541.000,  0.11292
542.000,  0.11217
543.000,  0.11141
544.000,  0.11067
545.000,  0.10993
546.000,  0.10921
547.000,  0.10852
548.000,  0.10786
549.000,  0.10721
550.000,  0.10657
551.000,  0.10591
552.000,  0.10524
553.000,  0.10457
554.000,  0.10394
555.000,  0.10335
556.000,  0.10278
557.000,  0.10221
558.000,  0.10162
559.000,  0.10101
560.000,  0.10041
561.000,  0.09983
562.000,  0.09928
563.000,  0.09874
564.000,  0.09820
565.000,  0.09768
566.000,  0.09717
567.000,  0.09668
568.000,  0.09619
569.000,  0.09570
570.000,  0.09521
571.000,  0.09471
572.000,  0.09421
573.000,  0.09372
574.000,  0.09324
575.000,  0.09278
576.000,  0.09235
577.000,  0.09193
578.000,  0.09152
579.000,  0.09110
580.000,  0.09067
