Wl (nm),  MAC (m2 g-1)
350.000,  0.64955
351.000,  0.64572
352.000,  0.64189
353.000,  0.63807
354.000,  0.63425
355.000,  0.63043
356.000,  0.62660
357.000,  0.62278
358.000,  0.61896
359.000,  0.61514
360.000,  0.61132
361.000,  0.60750
362.000,  0.60368
363.000,  0.59986
364.000,  0.59604
365.000,  0.59222
366.000,  0.58839
367.000,  0.58457
368.000,  0.58075
369.000,  0.57692
370.000,  0.57310
371.000,  0.56927
372.000,  0.56545
373.000,  0.56162
374.000,  0.55779
375.000,  0.55397
376.000,  0.55014
377.000,  0.54631
378.000,  0.54248
379.000,  0.53865
380.000,  0.53482
381.000,  0.53100
382.000,  0.52717
383.000,  0.52334
384.000,  0.51951
385.000,  0.51569
386.000,  0.51186
387.000,  0.50804
388.000,  0.50421
389.000,  0.50039
390.000,  0.49657
391.000,  0.49276
392.000,  0.48894
393.000,  0.48513
394.000,  0.48132
395.000,  0.47751
396.000,  0.47371
397.000,  0.46991
398.000,  0.46611
399.000,  0.46232
400.000,  0.45853
401.000,  0.45475
402.000,  0.45097
403.000,  0.44720
404.000,  0.44344
405.000,  0.43968
406.000,  0.43593
407.000,  0.43218
408.000,  0.42844
409.000,  0.42471
410.000,  0.42099
411.000,  0.41728
412.000,  0.41358
413.000,  0.40988
414.000,  0.40620
415.000,  0.40253
416.000,  0.39886
417.000,  0.39521
418.000,  0.39157
419.000,  0.38794
420.000,  0.38433
421.000,  0.38073
422.000,  0.37714
423.000,  0.37356
424.000,  0.37000
425.000,  0.36646
426.000,  0.36293
427.000,  0.35941
428.000,  0.35591
429.000,  0.35243
430.000,  0.34896
431.000,  0.34551
432.000,  0.34208
433.000,  0.33867
434.000,  0.33528
435.000,  0.33190
436.000,  0.32854
437.000,  0.32521
438.000,  0.32189
439.000,  0.31859
440.000,  0.31532
441.000,  0.31206
442.000,  0.30883
443.000,  0.30562
444.000,  0.30243
445.000,  0.29927
446.000,  0.29612
447.000,  0.29300
448.000,  0.28991
449.000,  0.28683
450.000,  0.28378
451.000,  0.28076
452.000,  0.27776
453.000,  0.27478
454.000,  0.27183
455.000,  0.26891
456.000,  0.26601
457.000,  0.26313
458.000,  0.26029
459.000,  0.25747
460.000,  0.25467
461.000,  0.25190
462.000,  0.24916
463.000,  0.24644
464.000,  0.24375
465.000,  0.24109
466.000,  0.23846
467.000,  0.23585
468.000,  0.23327
469.000,  0.23071
470.000,  0.22819
471.000,  0.22569
472.000,  0.22322
473.000,  0.22077
474.000,  0.21836
475.000,  0.21597
476.000,  0.21361
477.000,  0.21127
478.000,  0.20897
479.000,  0.20669
480.000,  0.20444
481.000,  0.20221
482.000,  0.20002
483.000,  0.19785
484.000,  0.19571
485.000,  0.19359
486.000,  0.19150
487.000,  0.18944
488.000,  0.18740
489.000,  0.18540
490.000,  0.18341
491.000,  0.18146
492.000,  0.17953
493.000,  0.17762
494.000,  0.17575
495.000,  0.17389
496.000,  0.17207
497.000,  0.17027
498.000,  0.16849
499.000,  0.16674
500.000,  0.16501
501.000,  0.16331
502.000,  0.16164
503.000,  0.15998
504.000,  0.15835
505.000,  0.15675
506.000,  0.15517
507.000,  0.15361
508.000,  0.15207
509.000,  0.15056
510.000,  0.14907
511.000,  0.14760
512.000,  0.14616
513.000,  0.14474
514.000,  0.14333
515.000,  0.14195
516.000,  0.14060
517.000,  0.13926
518.000,  0.13794
519.000,  0.13664
520.000,  0.13537
521.000,  0.13411
522.000,  0.13288
523.000,  0.13166
524.000,  0.13046
525.000,  0.12928
526.000,  0.12812
527.000,  0.12698
528.000,  0.12586
529.000,  0.12475
530.000,  0.12367
531.000,  0.12260
532.000,  0.12154
533.000,  0.12051
534.000,  0.11949
535.000,  0.11849
536.000,  0.11750
537.000,  0.11653
538.000,  0.11558
539.000,  0.11464
540.000,  0.11372
541.000,  0.11281
542.000,  0.11192
543.000,  0.11104
544.000,  0.11017
545.000,  0.10932
546.000,  0.10849
547.000,  0.10767
548.000,  0.10686
549.000,  0.10606
550.000,  0.10528
551.000,  0.10451
552.000,  0.10376
553.000,  0.10301
554.000,  0.10228
555.000,  0.10156
556.000,  0.10085
557.000,  0.10016
558.000,  0.09947
559.000,  0.09880
560.000,  0.09814
561.000,  0.09749
562.000,  0.09685
563.000,  0.09622
564.000,  0.09560
565.000,  0.09499
566.000,  0.09439
567.000,  0.09380
568.000,  0.09322
569.000,  0.09265
570.000,  0.09209
571.000,  0.09154
572.000,  0.09099
573.000,  0.09046
574.000,  0.08993
575.000,  0.08942
576.000,  0.08891
577.000,  0.08841
578.000,  0.08791
579.000,  0.08743
580.000,  0.08695
581.000,  0.08648
582.000,  0.08602
583.000,  0.08557
584.000,  0.08512
585.000,  0.08468
586.000,  0.08425
587.000,  0.08382
588.000,  0.08340
589.000,  0.08299
590.000,  0.08258
591.000,  0.08218
592.000,  0.08178
593.000,  0.08139
594.000,  0.08101
595.000,  0.08063
596.000,  0.08026
597.000,  0.07990
598.000,  0.07954
599.000,  0.07918
600.000,  0.07884
601.000,  0.07849
602.000,  0.07815
603.000,  0.07782
604.000,  0.07749
605.000,  0.07717
606.000,  0.07685
607.000,  0.07653
608.000,  0.07622
609.000,  0.07592
610.000,  0.07561
611.000,  0.07532
612.000,  0.07502
613.000,  0.07474
614.000,  0.07445
615.000,  0.07417
616.000,  0.07389
617.000,  0.07362
618.000,  0.07335
619.000,  0.07309
620.000,  0.07282
621.000,  0.07257
622.000,  0.07231
623.000,  0.07206
624.000,  0.07181
625.000,  0.07157
626.000,  0.07132
627.000,  0.07109
628.000,  0.07085
629.000,  0.07062
630.000,  0.07039
631.000,  0.07016
632.000,  0.06994
633.000,  0.06972
634.000,  0.06950
635.000,  0.06928
636.000,  0.06907
637.000,  0.06886
638.000,  0.06865
639.000,  0.06845
640.000,  0.06824
641.000,  0.06804
642.000,  0.06785
643.000,  0.06765
644.000,  0.06746
645.000,  0.06727
646.000,  0.06708
647.000,  0.06689
648.000,  0.06671
649.000,  0.06652
650.000,  0.06634
651.000,  0.06616
652.000,  0.06599
653.000,  0.06581
654.000,  0.06564
655.000,  0.06547
656.000,  0.06530
657.000,  0.06513
658.000,  0.06497
659.000,  0.06480
660.000,  0.06464
661.000,  0.06448
662.000,  0.06432
663.000,  0.06416
664.000,  0.06401
665.000,  0.06385
666.000,  0.06370
667.000,  0.06355
668.000,  0.06340
669.000,  0.06325
670.000,  0.06311
671.000,  0.06296
672.000,  0.06282
673.000,  0.06267
674.000,  0.06253
675.000,  0.06239
676.000,  0.06225
677.000,  0.06211
678.000,  0.06198
679.000,  0.06184
680.000,  0.06171
681.000,  0.06157
682.000,  0.06144
683.000,  0.06131
684.000,  0.06118
685.000,  0.06105
686.000,  0.06092
687.000,  0.06080
688.000,  0.06067
689.000,  0.06055
690.000,  0.06042
691.000,  0.06030
692.000,  0.06018
693.000,  0.06006
694.000,  0.05994
695.000,  0.05982
696.000,  0.05970
697.000,  0.05959
698.000,  0.05947
699.000,  0.05935
700.000,  0.05924
701.000,  0.05913
702.000,  0.05901
703.000,  0.05890
704.000,  0.05879
705.000,  0.05868
706.000,  0.05857
707.000,  0.05846
708.000,  0.05835
709.000,  0.05824
710.000,  0.05814
711.000,  0.05803
712.000,  0.05792
713.000,  0.05782
714.000,  0.05772
715.000,  0.05761
716.000,  0.05751
717.000,  0.05741
718.000,  0.05731
719.000,  0.05720
720.000,  0.05710
721.000,  0.05700
722.000,  0.05690
723.000,  0.05681
724.000,  0.05671
725.000,  0.05661
726.000,  0.05651
727.000,  0.05642
728.000,  0.05632
729.000,  0.05623
730.000,  0.05613
731.000,  0.05604
732.000,  0.05594
733.000,  0.05585
734.000,  0.05576
735.000,  0.05566
736.000,  0.05557
737.000,  0.05548
738.000,  0.05539
739.000,  0.05530
740.000,  0.05521
741.000,  0.05512
742.000,  0.05503
743.000,  0.05494
744.000,  0.05486
745.000,  0.05477
746.000,  0.05468
747.000,  0.05459
748.000,  0.05451
749.000,  0.05442
750.000,  0.05434
751.000,  0.05425
752.000,  0.05417
753.000,  0.05408
754.000,  0.05400
755.000,  0.05391
756.000,  0.05383
757.000,  0.05375
758.000,  0.05367
759.000,  0.05358
760.000,  0.05350
761.000,  0.05342
762.000,  0.05334
763.000,  0.05326
764.000,  0.05318
765.000,  0.05310
766.000,  0.05302
767.000,  0.05294
768.000,  0.05286
769.000,  0.05278
770.000,  0.05270
771.000,  0.05262
772.000,  0.05255
773.000,  0.05247
774.000,  0.05239
775.000,  0.05231
776.000,  0.05224
777.000,  0.05216
778.000,  0.05209
779.000,  0.05201
780.000,  0.05193
781.000,  0.05186
782.000,  0.05178
783.000,  0.05171
784.000,  0.05164
785.000,  0.05156
786.000,  0.05149
787.000,  0.05141
788.000,  0.05134
789.000,  0.05127
790.000,  0.05120
791.000,  0.05112
792.000,  0.05105
793.000,  0.05098
794.000,  0.05091
795.000,  0.05084
796.000,  0.05076
797.000,  0.05069
798.000,  0.05062
799.000,  0.05055
800.000,  0.05048
