Wl (nm),  MAC (m2 g-1)
350.000,  0.32986
351.000,  0.32878
352.000,  0.32769
353.000,  0.32662
354.000,  0.32556
355.000,  0.32451
356.000,  0.32343
357.000,  0.32230
358.000,  0.32116
359.000,  0.32004
360.000,  0.31894
361.000,  0.31786
362.000,  0.31676
363.000,  0.31563
364.000,  0.31449
365.000,  0.31334
366.000,  0.31218
367.000,  0.31102
368.000,  0.30987
369.000,  0.30871
370.000,  0.30754
371.000,  0.30638
372.000,  0.30523
373.000,  0.30408
374.000,  0.30292
375.000,  0.30172
376.000,  0.30049
377.000,  0.29926
378.000,  0.29806
379.000,  0.29687
380.000,  0.29568
381.000,  0.29447
382.000,  0.29324
383.000,  0.29200
384.000,  0.29074
385.000,  0.28948
386.000,  0.28822
387.000,  0.28697
388.000,  0.28571
389.000,  0.28443
390.000,  0.28315
391.000,  0.28188
392.000,  0.28062
393.000,  0.27936
394.000,  0.27807
395.000,  0.27674
396.000,  0.27539
397.000,  0.27406
398.000,  0.27276
399.000,  0.27146
400.000,  0.27015
401.000,  0.26882
402.000,  0.26748
403.000,  0.26612
404.000,  0.26476
405.000,  0.26339
406.000,  0.26202
407.000,  0.26065
408.000,  0.25929
409.000,  0.25791
410.000,  0.25651
411.000,  0.25513
412.000,  0.25376
413.000,  0.25240
414.000,  0.25102
415.000,  0.24962
416.000,  0.24819
417.000,  0.24674
418.000,  0.24532
419.000,  0.24392
420.000,  0.24253
421.000,  0.24113
422.000,  0.23971
423.000,  0.23828
424.000,  0.23684
425.000,  0.23540
426.000,  0.23395
427.000,  0.23250
428.000,  0.23106
429.000,  0.22964
430.000,  0.22820
431.000,  0.22675
432.000,  0.22529
433.000,  0.22385
434.000,  0.22242
435.000,  0.22101
436.000,  0.21959
437.000,  0.21815
438.000,  0.21668
439.000,  0.21519
440.000,  0.21372
441.000,  0.21229
442.000,  0.21088
443.000,  0.20947
444.000,  0.20804
445.000,  0.20660
446.000,  0.20516
447.000,  0.20372
448.000,  0.20229
449.000,  0.20084
450.000,  0.19940
451.000,  0.19798
452.000,  0.19658
453.000,  0.19518
454.000,  0.19376
455.000,  0.19233
456.000,  0.19092
457.000,  0.18953
458.000,  0.18817
459.000,  0.18681
460.000,  0.18545
461.000,  0.18406
462.000,  0.18265
463.000,  0.18124
464.000,  0.17986
465.000,  0.17852
466.000,  0.17721
467.000,  0.17590
468.000,  0.17457
469.000,  0.17324
470.000,  0.17190
471.000,  0.17059
472.000,  0.16928
473.000,  0.16797
474.000,  0.16666
475.000,  0.16536
476.000,  0.16410
477.000,  0.16286
478.000,  0.16161
479.000,  0.16034
480.000,  0.15907
481.000,  0.15783
482.000,  0.15662
483.000,  0.15544
484.000,  0.15426
485.000,  0.15309
486.000,  0.15190
487.000,  0.15068
488.000,  0.14947
489.000,  0.14828
490.000,  0.14714
491.000,  0.14603
492.000,  0.14494
493.000,  0.14384
494.000,  0.14273
495.000,  0.14161
496.000,  0.14051
497.000,  0.13944
498.000,  0.13838
499.000,  0.13731
500.000,  0.13623
501.000,  0.13518
502.000,  0.13417
503.000,  0.13318
504.000,  0.13219
505.000,  0.13118
506.000,  0.13016
507.000,  0.12917
508.000,  0.12821
509.000,  0.12729
510.000,  0.12637
511.000,  0.12547
512.000,  0.12456
513.000,  0.12363
514.000,  0.12269
515.000,  0.12175
516.000,  0.12084
517.000,  0.11999
518.000,  0.11917
519.000,  0.11836
520.000,  0.11754
521.000,  0.11670
522.000,  0.11586
523.000,  0.11504
524.000,  0.11425
525.000,  0.11347
526.000,  0.11269
527.000,  0.11190
528.000,  0.11111
529.000,  0.11036
530.000,  0.10965
531.000,  0.10895
532.000,  0.10823
533.000,  0.10750
534.000,  0.10677
535.000,  0.10606
536.000,  0.10538
537.000,  0.10474
538.000,  0.10410
539.000,  0.10347
540.000,  0.10284
541.000,  0.10220
542.000,  0.10153
543.000,  0.10086
544.000,  0.10021
545.000,  0.09961
546.000,  0.09905
547.000,  0.09851
548.000,  0.09796
549.000,  0.09739
550.000,  0.09681
551.000,  0.09624
552.000,  0.09568
553.000,  0.09515
554.000,  0.09463
555.000,  0.09411
556.000,  0.09357
557.000,  0.09303
558.000,  0.09252
559.000,  0.09205
560.000,  0.09160
561.000,  0.09114
562.000,  0.09065
563.000,  0.09015
564.000,  0.08967
565.000,  0.08921
566.000,  0.08878
567.000,  0.08837
568.000,  0.08796
569.000,  0.08755
570.000,  0.08715
571.000,  0.08672
572.000,  0.08628
573.000,  0.08584
574.000,  0.08540
575.000,  0.08501
576.000,  0.08465
577.000,  0.08431
578.000,  0.08397
579.000,  0.08361
580.000,  0.08324
581.000,  0.08286
582.000,  0.08249
583.000,  0.08214
584.000,  0.08181
585.000,  0.08148
586.000,  0.08115
587.000,  0.08079
588.000,  0.08044
589.000,  0.08011
590.000,  0.07983
591.000,  0.07955
592.000,  0.07926
593.000,  0.07894
594.000,  0.07862
595.000,  0.07831
596.000,  0.07801
597.000,  0.07773
598.000,  0.07747
599.000,  0.07722
600.000,  0.07697
601.000,  0.07671
602.000,  0.07645
603.000,  0.07618
604.000,  0.07589
605.000,  0.07559
606.000,  0.07531
607.000,  0.07507
608.000,  0.07485
609.000,  0.07464
610.000,  0.07443
611.000,  0.07421
612.000,  0.07397
613.000,  0.07373
614.000,  0.07348
615.000,  0.07325
616.000,  0.07304
617.000,  0.07284
618.000,  0.07263
619.000,  0.07241
620.000,  0.07217
621.000,  0.07194
622.000,  0.07174
623.000,  0.07157
624.000,  0.07140
625.000,  0.07121
626.000,  0.07101
627.000,  0.07080
628.000,  0.07059
629.000,  0.07039
630.000,  0.07021
631.000,  0.07005
632.000,  0.06989
633.000,  0.06973
634.000,  0.06957
635.000,  0.06941
636.000,  0.06923
637.000,  0.06904
638.000,  0.06884
639.000,  0.06864
640.000,  0.06846
641.000,  0.06831
642.000,  0.06817
643.000,  0.06805
644.000,  0.06792
645.000,  0.06777
646.000,  0.06762
647.000,  0.06745
648.000,  0.06728
649.000,  0.06712
650.000,  0.06698
651.000,  0.06685
652.000,  0.06671
653.000,  0.06657
654.000,  0.06641
655.000,  0.06624
656.000,  0.06610
657.000,  0.06597
658.000,  0.06587
659.000,  0.06576
660.000,  0.06563
661.000,  0.06548
662.000,  0.06533
663.000,  0.06519
664.000,  0.06505
665.000,  0.06493
666.000,  0.06482
667.000,  0.06472
668.000,  0.06461
669.000,  0.06451
670.000,  0.06439
671.000,  0.06428
672.000,  0.06415
673.000,  0.06400
674.000,  0.06386
675.000,  0.06371
676.000,  0.06359
677.000,  0.06349
678.000,  0.06341
679.000,  0.06333
680.000,  0.06324
681.000,  0.06313
682.000,  0.06302
683.000,  0.06290
684.000,  0.06278
685.000,  0.06266
686.000,  0.06256
687.000,  0.06247
688.000,  0.06237
689.000,  0.06227
690.000,  0.06216
691.000,  0.06203
692.000,  0.06191
693.000,  0.06181
694.000,  0.06173
695.000,  0.06166
696.000,  0.06158
697.000,  0.06148
698.000,  0.06137
699.000,  0.06126
700.000,  0.06115
701.000,  0.06104
702.000,  0.06096
703.000,  0.06087
704.000,  0.06081
705.000,  0.06073
706.000,  0.06065
707.000,  0.06057
708.000,  0.06049
709.000,  0.06039
710.000,  0.06028
711.000,  0.06017
712.000,  0.06005
713.000,  0.05994
714.000,  0.05986
715.000,  0.05979
716.000,  0.05973
717.000,  0.05967
718.000,  0.05960
719.000,  0.05952
720.000,  0.05944
721.000,  0.05934
722.000,  0.05924
723.000,  0.05915
724.000,  0.05907
725.000,  0.05900
726.000,  0.05892
727.000,  0.05884
728.000,  0.05876
729.000,  0.05867
730.000,  0.05857
731.000,  0.05848
732.000,  0.05841
733.000,  0.05835
734.000,  0.05829
735.000,  0.05823
736.000,  0.05814
737.000,  0.05805
738.000,  0.05796
739.000,  0.05787
740.000,  0.05779
741.000,  0.05772
742.000,  0.05765
743.000,  0.05760
744.000,  0.05754
745.000,  0.05748
746.000,  0.05741
747.000,  0.05735
748.000,  0.05727
749.000,  0.05719
750.000,  0.05710
751.000,  0.05700
752.000,  0.05690
753.000,  0.05682
754.000,  0.05675
755.000,  0.05670
756.000,  0.05665
757.000,  0.05660
758.000,  0.05655
759.000,  0.05649
760.000,  0.05642
761.000,  0.05634
762.000,  0.05626
763.000,  0.05618
764.000,  0.05610
765.000,  0.05604
766.000,  0.05598
767.000,  0.05592
768.000,  0.05585
769.000,  0.05578
770.000,  0.05570
771.000,  0.05561
772.000,  0.05554
773.000,  0.05548
774.000,  0.05543
775.000,  0.05539
776.000,  0.05533
777.000,  0.05526
778.000,  0.05519
779.000,  0.05511
780.000,  0.05503
781.000,  0.05496
782.000,  0.05490
783.000,  0.05484
784.000,  0.05479
785.000,  0.05474
786.000,  0.05469
787.000,  0.05464
788.000,  0.05458
789.000,  0.05453
790.000,  0.05446
791.000,  0.05439
792.000,  0.05430
793.000,  0.05422
794.000,  0.05414
795.000,  0.05406
796.000,  0.05401
797.000,  0.05396
798.000,  0.05391
799.000,  0.05388
800.000,  0.05383
