Actor,ActorID,Film,Year,Votes,Rating,FilmID
Lauren Bacall,nm0000002,Misery,1990,186886,7.8,tt0100157
Lauren Bacall,nm0000002,Innocent Victim,1989,103,5.9,tt0099846
Lauren Bacall,nm0000002,Appointment with Death,1988,4058,6.2,tt0094669
Lauren Bacall,nm0000002,Mr. North,1988,1297,5.9,tt0095665
Lauren Bacall,nm0000002,The Fan,1981,2038,5.8,tt0082362
Lauren Bacall,nm0000002,HealtH,1980,693,5.7,tt0079256
Lauren Bacall,nm0000002,The Shootist,1976,22409,7.6,tt0075213
Lauren Bacall,nm0000002,Murder on the Orient Express,1974,56620,7.3,tt0071877
Lauren Bacall,nm0000002,Harper,1966,8352,6.9,tt0060490
Lauren Bacall,nm0000002,Sex and the Single Girl,1964,3676,6.5,tt0058580
Lauren Bacall,nm0000002,Shock Treatment,1964,449,6.7,tt0058585
Lauren Bacall,nm0000002,North West Frontier,1959,2312,7.1,tt0053126
Lauren Bacall,nm0000002,The Gift of Love,1958,408,6.4,tt0051657
Lauren Bacall,nm0000002,Designing Woman,1957,4251,6.8,tt0050306
Lauren Bacall,nm0000002,Written on the Wind,1956,10445,7.4,tt0049966
Lauren Bacall,nm0000002,Blood Alley,1955,2841,6.3,tt0047889
Lauren Bacall,nm0000002,The Cobweb,1955,1539,6.5,tt0047944
Lauren Bacall,nm0000002,Woman's World,1954,900,7,tt0047680
Lauren Bacall,nm0000002,How to Marry a Millionaire,1953,20685,6.9,tt0045891
Lauren Bacall,nm0000002,Young Man with a Horn,1950,3047,7.2,tt0043153
Lauren Bacall,nm0000002,Bright Leaf,1950,1150,6.7,tt0042285
Lauren Bacall,nm0000002,Key Largo,1948,37266,7.8,tt0040506
Lauren Bacall,nm0000002,Dark Passage,1947,17865,7.5,tt0039302
Lauren Bacall,nm0000002,The Big Sleep,1946,79312,7.9,tt0038355
Lauren Bacall,nm0000002,Two Guys from Milwaukee,1946,435,6.4,tt0039053
Lauren Bacall,nm0000002,Confidential Agent,1945,947,6.5,tt0037610
Lauren Bacall,nm0000002,To Have and Have Not,1944,31382,7.8,tt0037382
Brigitte Bardot,nm0000003,Don Juan (Or If Don Juan Were a Woman),1973,894,5.1,tt0069990
Brigitte Bardot,nm0000003,The Edifying and Joyous Story of Colinot,1973,122,4.3,tt0069899
Brigitte Bardot,nm0000003,Frenchie King,1971,1054,5.3,tt0067637
Brigitte Bardot,nm0000003,Rum Runners,1971,469,5.6,tt0066857
Brigitte Bardot,nm0000003,The Bear and the Doll,1970,431,6.4,tt0064779
Brigitte Bardot,nm0000003,Les novices,1970,219,5.1,tt0066164
Brigitte Bardot,nm0000003,Les femmes,1969,351,5.5,tt0064324
Brigitte Bardot,nm0000003,Spirits of the Dead,1968,5787,6.5,tt0063715
Brigitte Bardot,nm0000003,Shalako,1968,2814,5.6,tt0063592
Brigitte Bardot,nm0000003,Two Weeks in September,1967,228,5.4,tt0062534
Brigitte Bardot,nm0000003,Masculin Feminin,1966,12956,7.5,tt0060675
Brigitte Bardot,nm0000003,Viva Maria!,1965,3451,6.4,tt0059956
Brigitte Bardot,nm0000003,Dear Brigitte,1965,1321,6.3,tt0059094
Brigitte Bardot,nm0000003,Agent 38-24-36,1964,317,5.6,tt0058703
Brigitte Bardot,nm0000003,Contempt,1963,29310,7.6,tt0057345
Brigitte Bardot,nm0000003,A Very Private Affair,1962,959,5.6,tt0055599
Brigitte Bardot,nm0000003,Love on a Pillow,1962,507,5.6,tt0056404
Brigitte Bardot,nm0000003,"Please, Not Now!",1961,335,5.7,tt0054700
Brigitte Bardot,nm0000003,Famous Love Affairs,1961,185,5.3,tt0054516
Brigitte Bardot,nm0000003,The Truth,1960,3222,7.6,tt0054452
Brigitte Bardot,nm0000003,Come Dance with Me!,1959,551,6.3,tt0053428
Brigitte Bardot,nm0000003,Babette Goes to War,1959,352,6.1,tt0052595
Brigitte Bardot,nm0000003,Love Is My Profession,1958,1229,6.7,tt0051579
Brigitte Bardot,nm0000003,The Night Heaven Fell,1958,638,5.6,tt0050193
Brigitte Bardot,nm0000003,The Female,1958,215,5.4,tt0051608
Brigitte Bardot,nm0000003,La Parisienne,1957,833,6.3,tt0051133
Brigitte Bardot,nm0000003,...And God Created Woman,1956,7686,6.4,tt0049189
Brigitte Bardot,nm0000003,Helen of Troy,1956,2015,6.2,tt0049301
Brigitte Bardot,nm0000003,Plucking the Daisy,1956,501,6,tt0049182
Brigitte Bardot,nm0000003,Naughty Girl,1956,434,5.9,tt0049063
Brigitte Bardot,nm0000003,Nero's Mistress,1956,303,5.7,tt0049508
Brigitte Bardot,nm0000003,Her Bridal Night,1956,170,5.7,tt0049483
Brigitte Bardot,nm0000003,The Grand Maneuver,1955,883,6.8,tt0048133
Brigitte Bardot,nm0000003,Doctor at Sea,1955,861,5.9,tt0048001
Brigitte Bardot,nm0000003,School for Love,1955,153,5.1,tt0048103
Brigitte Bardot,nm0000003,The Light Across the Street,1955,123,6.1,tt0048321
Brigitte Bardot,nm0000003,Caroline and the Rebels,1955,113,4.4,tt0048070
Brigitte Bardot,nm0000003,Royal Affairs in Versailles,1954,513,6.9,tt0047484
Brigitte Bardot,nm0000003,Act of Love,1953,482,6.6,tt0046480
Brigitte Bardot,nm0000003,Crazy for Love,1952,307,6,tt0045265
Brigitte Bardot,nm0000003,The Girl in the Bikini,1952,295,5.6,tt0044881
John Belushi,nm0000004,Neighbors,1981,7496,5.6,tt0082801
John Belushi,nm0000004,Continental Divide,1981,4659,6.2,tt0082200
John Belushi,nm0000004,The Blues Brothers,1980,184905,7.9,tt0080455
John Belushi,nm0000004,1941,1979,31580,5.8,tt0078723
John Belushi,nm0000004,Old Boyfriends,1979,345,5.7,tt0079660
John Belushi,nm0000004,Animal House,1978,112771,7.5,tt0077975
John Belushi,nm0000004,Goin' South,1978,6650,6.2,tt0077621
John Belushi,nm0000004,Shame of the Jungle,1975,1134,5.1,tt0073691
Ingmar Bergman,nm0000005,Cries & Whispers,1972,30691,8.1,tt0069467
Ingmar Bergman,nm0000005,The Passion of Anna,1969,8665,7.7,tt0064793
Ingmar Bergman,nm0000005,Dreams,1955,2694,7.1,tt0048272
Ingmar Bergman,nm0000005,A Lesson in Love,1954,2969,7,tt0047167
Ingmar Bergman,nm0000005,Waiting Women,1952,2279,7,tt0044811
Ingmar Bergman,nm0000005,To Joy,1950,2554,7.2,tt0043048
Ingmar Bergman,nm0000005,Thirst,1949,2184,6.6,tt0041998
Ingmar Bergman,nm0000005,Music in Darkness,1948,1175,6.5,tt0040622
Ingmar Bergman,nm0000005,A Ship Bound for India,1947,1517,6.5,tt0039834
Ingmar Bergman,nm0000005,Torment,1944,3205,7.3,tt0036914
Ingrid Bergman,nm0000006,Autumn Sonata,1978,28001,8.2,tt0077711
Ingrid Bergman,nm0000006,A Matter of Time,1976,550,5.2,tt0074878
Ingrid Bergman,nm0000006,Murder on the Orient Express,1974,56620,7.3,tt0071877
Ingrid Bergman,nm0000006,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,1973,477,6.3,tt0070079
Ingrid Bergman,nm0000006,A Walk in the Spring Rain,1970,696,6.2,tt0066542
Ingrid Bergman,nm0000006,Cactus Flower,1969,9777,7.2,tt0064117
Ingrid Bergman,nm0000006,Stimulantia,1967,199,5.7,tt0062306
Ingrid Bergman,nm0000006,The Yellow Rolls-Royce,1964,3237,6.4,tt0059927
Ingrid Bergman,nm0000006,The Visit,1964,1519,7.5,tt0058724
Ingrid Bergman,nm0000006,Goodbye Again,1961,2395,7.1,tt0054936
Ingrid Bergman,nm0000006,Indiscreet,1958,8130,6.8,tt0051773
Ingrid Bergman,nm0000006,The Inn of the Sixth Happiness,1958,4584,7.3,tt0051776
Ingrid Bergman,nm0000006,Anastasia,1956,7635,7,tt0048947
Ingrid Bergman,nm0000006,Elena and Her Men,1956,1760,6.3,tt0049177
Ingrid Bergman,nm0000006,Journey to Italy,1954,9238,7.4,tt0046511
Ingrid Bergman,nm0000006,Fear,1954,1208,6.6,tt0047336
Ingrid Bergman,nm0000006,Giovanna d'Arco al rogo,1954,289,5.7,tt0047026
Ingrid Bergman,nm0000006,"We, the Women",1953,381,6.5,tt0046309
Ingrid Bergman,nm0000006,Europe '51,1952,3528,7.5,tt0043511
Ingrid Bergman,nm0000006,"Stromboli, terra di Dio",1950,6065,7.3,tt0041931
Ingrid Bergman,nm0000006,Under Capricorn,1949,6536,6.2,tt0042004
Ingrid Bergman,nm0000006,Joan of Arc,1948,2921,6.4,tt0040491
Ingrid Bergman,nm0000006,Arch of Triumph,1948,1387,6.4,tt0040109
Ingrid Bergman,nm0000006,Notorious,1946,93005,7.9,tt0038787
Ingrid Bergman,nm0000006,Spellbound,1945,43909,7.6,tt0038109
Ingrid Bergman,nm0000006,The Bells of St. Mary's,1945,7258,7.3,tt0037536
Ingrid Bergman,nm0000006,Saratoga Trunk,1945,1223,6.5,tt0038053
Ingrid Bergman,nm0000006,Gaslight,1944,25049,7.8,tt0036855
Ingrid Bergman,nm0000006,For Whom the Bell Tolls,1943,8466,6.9,tt0035896
Ingrid Bergman,nm0000006,Casablanca,1942,527292,8.5,tt0034583
Ingrid Bergman,nm0000006,Dr. Jekyll and Mr. Hyde,1941,8313,6.8,tt0033553
Ingrid Bergman,nm0000006,Rage in Heaven,1941,1044,6.4,tt0034078
Ingrid Bergman,nm0000006,Adam Had Four Sons,1941,831,6.6,tt0033314
Ingrid Bergman,nm0000006,June Night,1940,475,6,tt0032655
Ingrid Bergman,nm0000006,Intermezzo: A Love Story,1939,2320,6.7,tt0031491
Ingrid Bergman,nm0000006,Only One Night,1939,222,5.9,tt0031270
Ingrid Bergman,nm0000006,A Woman's Face,1938,824,6.9,tt0030337
Ingrid Bergman,nm0000006,Dollar,1938,308,5.5,tt0030066
Ingrid Bergman,nm0000006,The Four Companions,1938,129,6,tt0030938
Ingrid Bergman,nm0000006,Intermezzo,1936,1059,6.6,tt0027796
Ingrid Bergman,nm0000006,On the Sunny Side,1936,103,5.4,tt0028151
Ingrid Bergman,nm0000006,Walpurgis Night,1935,317,6,tt0027164
Ingrid Bergman,nm0000006,The Count of the Old Town,1935,267,5.9,tt0026737
Ingrid Bergman,nm0000006,Swedenhielms Family,1935,241,5.6,tt0027062
Humphrey Bogart,nm0000007,The Harder They Fall,1956,7216,7.5,tt0049291
Humphrey Bogart,nm0000007,The Desperate Hours,1955,8898,7.5,tt0047985
Humphrey Bogart,nm0000007,We're No Angels,1955,8504,7.5,tt0048801
Humphrey Bogart,nm0000007,The Left Hand of God,1955,2356,6.5,tt0048291
Humphrey Bogart,nm0000007,Sabrina,1954,60019,7.7,tt0047437
Humphrey Bogart,nm0000007,The Caine Mutiny,1954,24578,7.7,tt0046816
Humphrey Bogart,nm0000007,The Barefoot Contessa,1954,9913,7,tt0046754
Humphrey Bogart,nm0000007,Beat the Devil,1953,8269,6.5,tt0046414
Humphrey Bogart,nm0000007,Battle Circus,1953,1429,6,tt0045544
Humphrey Bogart,nm0000007,Deadline - U.S.A.,1952,3127,7.2,tt0044533
Humphrey Bogart,nm0000007,The African Queen,1951,72094,7.7,tt0043265
Humphrey Bogart,nm0000007,The Enforcer,1951,4474,7.3,tt0043503
Humphrey Bogart,nm0000007,Sirocco,1951,1983,6.3,tt0044040
Humphrey Bogart,nm0000007,In a Lonely Place,1950,27299,8,tt0042593
Humphrey Bogart,nm0000007,Chain Lightning,1950,1036,6,tt0042324
Humphrey Bogart,nm0000007,Knock on Any Door,1949,3079,6.8,tt0041555
Humphrey Bogart,nm0000007,Tokyo Joe,1949,1881,6.3,tt0041967
Humphrey Bogart,nm0000007,The Treasure of the Sierra Madre,1948,115396,8.2,tt0040897
Humphrey Bogart,nm0000007,Key Largo,1948,37266,7.8,tt0040506
Humphrey Bogart,nm0000007,Dark Passage,1947,17865,7.5,tt0039302
Humphrey Bogart,nm0000007,Dead Reckoning,1947,6913,7.1,tt0039305
