Actor,ActorID,Film,Year,Votes,Rating,FilmID
Fred Astaire,nm0000001,Ghost Story,1981,7731,6.3,tt0082449
Fred Astaire,nm0000001,The Purple Taxi,1977,533,6.6,tt0076851
Fred Astaire,nm0000001,The Amazing Dobermans,1976,369,5.3,tt0074130
Fred Astaire,nm0000001,The Towering Inferno,1974,39888,7,tt0072308
Fred Astaire,nm0000001,Midas Run,1969,123,4.8,tt0064664
Fred Astaire,nm0000001,Finian's Rainbow,1968,3377,6.2,tt0062974
Fred Astaire,nm0000001,The Notorious Landlady,1962,1887,6.8,tt0056289
Fred Astaire,nm0000001,The Pleasure of His Company,1961,679,6.9,tt0055307
Fred Astaire,nm0000001,On the Beach,1959,12066,7.2,tt0053137
Fred Astaire,nm0000001,Funny Face,1957,27534,7,tt0050419
Fred Astaire,nm0000001,Silk Stockings,1957,3548,6.9,tt0050972
Fred Astaire,nm0000001,Daddy Long Legs,1955,3507,6.7,tt0047969
Fred Astaire,nm0000001,The Band Wagon,1953,10227,7.5,tt0045537
Fred Astaire,nm0000001,The Belle of New York,1952,844,6.2,tt0044408
Fred Astaire,nm0000001,Royal Wedding,1951,4879,6.7,tt0043983
Fred Astaire,nm0000001,Three Little Words,1950,1600,7,tt0043044
Fred Astaire,nm0000001,Let's Dance,1950,453,6.2,tt0042674
Fred Astaire,nm0000001,The Barkleys of Broadway,1949,2780,7,tt0041158
Fred Astaire,nm0000001,Easter Parade,1948,8848,7.4,tt0040308
Fred Astaire,nm0000001,Blue Skies,1946,1265,6.4,tt0038370
Fred Astaire,nm0000001,Ziegfeld Follies,1945,2908,6.5,tt0039116
Fred Astaire,nm0000001,Yolanda and the Thief,1945,897,6,tt0038262
Fred Astaire,nm0000001,The Sky's the Limit,1943,847,6.4,tt0036363
Fred Astaire,nm0000001,Holiday Inn,1942,13636,7.4,tt0034862
Fred Astaire,nm0000001,You Were Never Lovelier,1942,3321,7.2,tt0035583
Fred Astaire,nm0000001,You'll Never Get Rich,1941,2253,6.8,tt0034409
Fred Astaire,nm0000001,Broadway Melody of 1940,1940,2146,7.4,tt0032284
Fred Astaire,nm0000001,Second Chorus,1940,1377,5.8,tt0033029
Fred Astaire,nm0000001,The Story of Vernon and Irene Castle,1939,2316,6.9,tt0031983
Fred Astaire,nm0000001,Carefree,1938,3455,7,tt0029971
Fred Astaire,nm0000001,Shall We Dance,1937,6603,7.5,tt0029546
Fred Astaire,nm0000001,A Damsel in Distress,1937,1801,6.8,tt0028757
Fred Astaire,nm0000001,Swing Time,1936,12475,7.5,tt0028333
Fred Astaire,nm0000001,Follow the Fleet,1936,3978,7.2,tt0027630
Fred Astaire,nm0000001,Top Hat,1935,17641,7.7,tt0027125
Fred Astaire,nm0000001,Roberta,1935,2948,7.1,tt0026942
Fred Astaire,nm0000001,The Gay Divorcee,1934,7101,7.5,tt0025164
Fred Astaire,nm0000001,Flying Down to Rio,1933,3379,6.6,tt0024025
Fred Astaire,nm0000001,Dancing Lady,1933,2107,6.8,tt0023926
Lauren Bacall,nm0000002,Ernest & Celestine,2012,18793,7.9,tt1816518
Lauren Bacall,nm0000002,The Forger,2012,4472,5.4,tt1368858
Lauren Bacall,nm0000002,All at Sea,2010,110,5.7,tt0858500
Lauren Bacall,nm0000002,The Walker,2007,5256,5.8,tt0783608
Lauren Bacall,nm0000002,Manderlay,2005,22622,7.3,tt0342735
Lauren Bacall,nm0000002,These Foolish Things,2005,358,5.6,tt0439848
Lauren Bacall,nm0000002,Howl's Moving Castle,2004,340480,8.2,tt0347149
Lauren Bacall,nm0000002,Birth,2004,34949,6.1,tt0337876
Lauren Bacall,nm0000002,Dogville,2003,139108,8,tt0276919
Lauren Bacall,nm0000002,Diamonds,1999,1493,5.5,tt0167423
Lauren Bacall,nm0000002,Presence of Mind,1999,540,5.5,tt0211577
Lauren Bacall,nm0000002,Madeline: Lost in Paris,1999,396,6.1,tt0272183
Lauren Bacall,nm0000002,The Venice Project,1999,129,5.7,tt0211719
Lauren Bacall,nm0000002,Le jour et la nuit,1997,1014,1.6,tt0119418
Lauren Bacall,nm0000002,The Mirror Has Two Faces,1996,16564,6.7,tt0117057
Lauren Bacall,nm0000002,My Fellow Americans,1996,14178,6.5,tt0117119
Lauren Bacall,nm0000002,Ready to Wear,1994,14444,5.2,tt0110907
Lauren Bacall,nm0000002,All I Want for Christmas,1991,4564,6,tt0101301
Lauren Bacall,nm0000002,A Star for Two,1991,227,5.5,tt0166817
