Wl (nm),  MAC (m2 g-1)
350.000,  0.25471
351.000,  0.24151
352.000,  0.22905
353.000,  0.21729
354.000,  0.20620
355.000,  0.19573
356.000,  0.18584
357.000,  0.17651
358.000,  0.16770
359.000,  0.15938
360.000,  0.15153
361.000,  0.14411
362.000,  0.13711
363.000,  0.13049
364.000,  0.12424
365.000,  0.11834
366.000,  0.11276
367.000,  0.10749
368.000,  0.10250
369.000,  0.09779
370.000,  0.09334
371.000,  0.08913
372.000,  0.08515
373.000,  0.08138
374.000,  0.07781
375.000,  0.07444
376.000,  0.07125
377.000,  0.06822
378.000,  0.06536
379.000,  0.06265
380.000,  0.06008
381.000,  0.05765
382.000,  0.05534
383.000,  0.05315
384.000,  0.05108
385.000,  0.04911
386.000,  0.04724
387.000,  0.04547
388.000,  0.04378
389.000,  0.04219
390.000,  0.04067
391.000,  0.03922
392.000,  0.03785
393.000,  0.03655
394.000,  0.03531
395.000,  0.03412
396.000,  0.03300
397.000,  0.03193
398.000,  0.03091
399.000,  0.02993
400.000,  0.02901
401.000,  0.02812
402.000,  0.02728
403.000,  0.02647
404.000,  0.02570
405.000,  0.02496
406.000,  0.02426
407.000,  0.02358
408.000,  0.02294
409.000,  0.02232
410.000,  0.02173
411.000,  0.02116
412.000,  0.02062
413.000,  0.02010
414.000,  0.01960
415.000,  0.01912
416.000,  0.01866
417.000,  0.01821
418.000,  0.01779
419.000,  0.01738
420.000,  0.01698
421.000,  0.01660
422.000,  0.01623
423.000,  0.01588
424.000,  0.01554
425.000,  0.01521
426.000,  0.01489
427.000,  0.01458
428.000,  0.01429
429.000,  0.01400
430.000,  0.01372
431.000,  0.01345
432.000,  0.01319
433.000,  0.01294
434.000,  0.01269
435.000,  0.01246
436.000,  0.01223
437.000,  0.01200
438.000,  0.01179
439.000,  0.01158
440.000,  0.01137
441.000,  0.01117
442.000,  0.01098
443.000,  0.01079
444.000,  0.01061
445.000,  0.01043
446.000,  0.01025
447.000,  0.01008
448.000,  0.00992
449.000,  0.00976
450.000,  0.00960
451.000,  0.00944
452.000,  0.00929
453.000,  0.00915
454.000,  0.00900
455.000,  0.00886
456.000,  0.00873
457.000,  0.00859
458.000,  0.00846
459.000,  0.00833
460.000,  0.00821
461.000,  0.00808
462.000,  0.00796
463.000,  0.00785
464.000,  0.00773
465.000,  0.00762
466.000,  0.00751
467.000,  0.00740
468.000,  0.00729
469.000,  0.00719
470.000,  0.00708
471.000,  0.00698
472.000,  0.00689
473.000,  0.00679
474.000,  0.00669
475.000,  0.00660
476.000,  0.00651
477.000,  0.00642
478.000,  0.00633
479.000,  0.00624
480.000,  0.00616
481.000,  0.00608
482.000,  0.00599
483.000,  0.00591
484.000,  0.00583
485.000,  0.00576
486.000,  0.00568
487.000,  0.00560
488.000,  0.00553
489.000,  0.00546
490.000,  0.00538
491.000,  0.00531
492.000,  0.00524
493.000,  0.00518
494.000,  0.00511
495.000,  0.00504
496.000,  0.00498
497.000,  0.00491
498.000,  0.00485
499.000,  0.00479
500.000,  0.00473
501.000,  0.00467
502.000,  0.00461
503.000,  0.00455
504.000,  0.00449
505.000,  0.00444
506.000,  0.00438
507.000,  0.00433
508.000,  0.00427
509.000,  0.00422
510.000,  0.00417
511.000,  0.00412
512.000,  0.00406
513.000,  0.00402
514.000,  0.00397
515.000,  0.00392
516.000,  0.00387
517.000,  0.00382
518.000,  0.00378
519.000,  0.00373
520.000,  0.00369
521.000,  0.00364
522.000,  0.00360
523.000,  0.00356
524.000,  0.00351
525.000,  0.00347
526.000,  0.00343
527.000,  0.00339
528.000,  0.00335
529.000,  0.00331
530.000,  0.00327
531.000,  0.00323
532.000,  0.00320
533.000,  0.00316
534.000,  0.00312
535.000,  0.00309
536.000,  0.00305
537.000,  0.00302
538.000,  0.00298
539.000,  0.00295
540.000,  0.00292
541.000,  0.00288
542.000,  0.00285
543.000,  0.00282
544.000,  0.00279
545.000,  0.00276
546.000,  0.00273
547.000,  0.00270
548.000,  0.00267
549.000,  0.00264
550.000,  0.00261
551.000,  0.00258
552.000,  0.00255
553.000,  0.00252
554.000,  0.00250
555.000,  0.00247
556.000,  0.00244
557.000,  0.00242
558.000,  0.00239
559.000,  0.00236
560.000,  0.00234
561.000,  0.00231
562.000,  0.00229
563.000,  0.00227
564.000,  0.00224
565.000,  0.00222
566.000,  0.00220
567.000,  0.00217
568.000,  0.00215
569.000,  0.00213
570.000,  0.00211
571.000,  0.00209
572.000,  0.00206
573.000,  0.00204
574.000,  0.00202
575.000,  0.00200
576.000,  0.00198
577.000,  0.00196
578.000,  0.00194
579.000,  0.00192
580.000,  0.00191
581.000,  0.00189
582.000,  0.00187
583.000,  0.00185
584.000,  0.00183
585.000,  0.00181
586.000,  0.00180
587.000,  0.00178
588.000,  0.00176
589.000,  0.00175
590.000,  0.00173
591.000,  0.00171
592.000,  0.00170
593.000,  0.00168
594.000,  0.00167
595.000,  0.00165
596.000,  0.00164
597.000,  0.00162
598.000,  0.00161
599.000,  0.00159
600.000,  0.00158
601.000,  0.00156
602.000,  0.00155
603.000,  0.00153
604.000,  0.00152
605.000,  0.00151
606.000,  0.00149
607.000,  0.00148
608.000,  0.00147
609.000,  0.00146
610.000,  0.00144
611.000,  0.00143
612.000,  0.00142
613.000,  0.00141
614.000,  0.00139
615.000,  0.00138
616.000,  0.00137
617.000,  0.00136
618.000,  0.00135
619.000,  0.00134
620.000,  0.00133
621.000,  0.00132
622.000,  0.00131
623.000,  0.00129
624.000,  0.00128
625.000,  0.00127
626.000,  0.00126
627.000,  0.00125
628.000,  0.00124
629.000,  0.00123
630.000,  0.00122
631.000,  0.00122
632.000,  0.00121
633.000,  0.00120
634.000,  0.00119
635.000,  0.00118
636.000,  0.00117
637.000,  0.00116
638.000,  0.00115
639.000,  0.00114
640.000,  0.00114
641.000,  0.00113
642.000,  0.00112
643.000,  0.00111
644.000,  0.00110
645.000,  0.00109
646.000,  0.00109
647.000,  0.00108
648.000,  0.00107
649.000,  0.00106
650.000,  0.00106
651.000,  0.00105
652.000,  0.00104
653.000,  0.00103
654.000,  0.00103
655.000,  0.00102
656.000,  0.00101
657.000,  0.00101
658.000,  0.00100
659.000,  0.00099
660.000,  0.00099
661.000,  0.00098
662.000,  0.00097
663.000,  0.00097
664.000,  0.00096
665.000,  0.00096
666.000,  0.00095
667.000,  0.00094
668.000,  0.00094
669.000,  0.00093
670.000,  0.00093
671.000,  0.00092
672.000,  0.00092
673.000,  0.00091
674.000,  0.00090
675.000,  0.00090
676.000,  0.00089
677.000,  0.00089
678.000,  0.00088
679.000,  0.00088
680.000,  0.00087
681.000,  0.00087
682.000,  0.00086
683.000,  0.00086
684.000,  0.00085
685.000,  0.00085
686.000,  0.00084
687.000,  0.00084
688.000,  0.00083
689.000,  0.00083
690.000,  0.00083
691.000,  0.00082
692.000,  0.00082
693.000,  0.00081
694.000,  0.00081
695.000,  0.00080
696.000,  0.00080
697.000,  0.00080
698.000,  0.00079
699.000,  0.00079
700.000,  0.00078
701.000,  0.00078
702.000,  0.00078
703.000,  0.00077
704.000,  0.00077
705.000,  0.00076
706.000,  0.00076
707.000,  0.00076
708.000,  0.00075
709.000,  0.00075
710.000,  0.00075
711.000,  0.00074
712.000,  0.00074
713.000,  0.00074
714.000,  0.00073
715.000,  0.00073
716.000,  0.00073
717.000,  0.00072
718.000,  0.00072
719.000,  0.00072
720.000,  0.00071
721.000,  0.00071
722.000,  0.00071
723.000,  0.00070
724.000,  0.00070
725.000,  0.00070
726.000,  0.00069
727.000,  0.00069
728.000,  0.00069
729.000,  0.00069
730.000,  0.00068
731.000,  0.00068
732.000,  0.00068
733.000,  0.00067
734.000,  0.00067
735.000,  0.00067
736.000,  0.00067
737.000,  0.00066
738.000,  0.00066
739.000,  0.00066
740.000,  0.00066
741.000,  0.00065
742.000,  0.00065
743.000,  0.00065
744.000,  0.00065
745.000,  0.00064
746.000,  0.00064
747.000,  0.00064
748.000,  0.00064
749.000,  0.00063
750.000,  0.00063
751.000,  0.00063
752.000,  0.00063
753.000,  0.00062
754.000,  0.00062
755.000,  0.00062
756.000,  0.00062
757.000,  0.00062
758.000,  0.00061
759.000,  0.00061
760.000,  0.00061
761.000,  0.00061
762.000,  0.00061
763.000,  0.00060
764.000,  0.00060
765.000,  0.00060
766.000,  0.00060
767.000,  0.00060
768.000,  0.00059
769.000,  0.00059
770.000,  0.00059
771.000,  0.00059
772.000,  0.00059
773.000,  0.00058
774.000,  0.00058
775.000,  0.00058
776.000,  0.00058
777.000,  0.00058
778.000,  0.00058
779.000,  0.00057
780.000,  0.00057
781.000,  0.00057
782.000,  0.00057
783.000,  0.00057
784.000,  0.00057
785.000,  0.00056
786.000,  0.00056
787.000,  0.00056
788.000,  0.00056
789.000,  0.00056
790.000,  0.00056
791.000,  0.00056
792.000,  0.00055
793.000,  0.00055
794.000,  0.00055
795.000,  0.00055
796.000,  0.00055
797.000,  0.00055
798.000,  0.00054
799.000,  0.00054
800.000,  0.00054
