tree_anzsic_2006,tree_isic_4,comment,prefixed_id,skos_uri
0123,0111,many-to-many correspondence,965a5d75-8c7d-4252-a64b-d2ec666124a8,http://www.w3.org/2004/02/skos/core#relatedMatch
0123,0113,many-to-many correspondence,9fa36fc0-2894-4cfd-9fda-880e86117334,http://www.w3.org/2004/02/skos/core#relatedMatch
0123,0119,many-to-many correspondence,21819a6a-18a7-4286-aea5-fe02dff4e809,http://www.w3.org/2004/02/skos/core#relatedMatch
0123,0128,many-to-many correspondence,5bb0bfb3-f7a3-4126-b35e-32035200c0e8,http://www.w3.org/2004/02/skos/core#relatedMatch
0123,0129,many-to-many correspondence,67a8f1cd-8fe1-450c-9ff1-26b555a7490c,http://www.w3.org/2004/02/skos/core#relatedMatch
0131,0121,one-to-one correspondence,85fe74f2-9d16-4063-8c17-928049e4d4b5,http://www.w3.org/2004/02/skos/core#exactMatch
0132,0125,many-to-one correspondence,09e19c68-1c55-429e-b1d6-23cbe4401a80,http://www.w3.org/2004/02/skos/core#broadMatch
0133,0125,many-to-one correspondence,c7469e7f-71d5-4704-a801-6c9daa8b62e9,http://www.w3.org/2004/02/skos/core#broadMatch
0134,0124,many-to-one correspondence,0c46b591-8abf-4387-b7b8-ba971ccae585,http://www.w3.org/2004/02/skos/core#broadMatch
0135,0124,many-to-one correspondence,0ce57d53-7e14-4bdd-82cb-e0c2408ad385,http://www.w3.org/2004/02/skos/core#broadMatch
0136,0123,one-to-one correspondence,ec1f52b3-7525-4779-bbb6-88294d770e44,http://www.w3.org/2004/02/skos/core#exactMatch
0137,0126,many-to-one correspondence,86a1a723-3160-450f-8f5c-7d8fedd298bc,http://www.w3.org/2004/02/skos/core#broadMatch
0139,0122,one-to-many correspondence,30328d2a-f0e2-427d-bfd5-8cb4950442f5,http://www.w3.org/2004/02/skos/core#narrowMatch
0139,0125,many-to-many correspondence,b37204c9-2c92-4ae5-b2f3-abc5c6c06bdb,http://www.w3.org/2004/02/skos/core#relatedMatch
0139,0126,many-to-many correspondence,d9a25e8c-24f0-4b19-aa24-32ba0456434f,http://www.w3.org/2004/02/skos/core#relatedMatch
0141,0144,many-to-many correspondence,6906aa5c-46db-48fb-ab3e-fd46a49c1b0b,http://www.w3.org/2004/02/skos/core#relatedMatch
0141,0162,many-to-many correspondence,18218a9a-1e81-4c43-ae0c-dd9c4d5ed722,http://www.w3.org/2004/02/skos/core#relatedMatch
0142,0141,many-to-many correspondence,bab95b13-e2dc-48a4-b304-5ed4c3bd67ee,http://www.w3.org/2004/02/skos/core#relatedMatch
0142,0162,many-to-many correspondence,a9cdc33f-0e50-40ee-9c4a-4375134c504a,http://www.w3.org/2004/02/skos/core#relatedMatch
0143,0141,many-to-one correspondence,98e22271-9c6a-47d3-86e0-3d2f28ab143a,http://www.w3.org/2004/02/skos/core#broadMatch
0144,0141,many-to-many correspondence,6efc4586-2957-44cf-bc78-85976f98f41b,http://www.w3.org/2004/02/skos/core#relatedMatch
0144,0144,many-to-many correspondence,498c9e47-a684-4082-9bee-a3c80aae5ac7,http://www.w3.org/2004/02/skos/core#relatedMatch
0145,0150,one-to-one correspondence,dd269c1c-f4b9-46af-8ca4-2892c6709640,http://www.w3.org/2004/02/skos/core#exactMatch
0146,0112,one-to-one correspondence,81855ee5-5ebe-42be-a2d1-7d1c64f370c2,http://www.w3.org/2004/02/skos/core#exactMatch
0149,0111,many-to-many correspondence,4a648699-1690-4275-8857-c3f0484a4a70,http://www.w3.org/2004/02/skos/core#relatedMatch
0149,0119,many-to-many correspondence,8fc874eb-f799-4cff-b4ce-9b4977fd7c26,http://www.w3.org/2004/02/skos/core#relatedMatch
0151,0114,one-to-one correspondence,79a820b3-a632-48e7-8e36-e08c58639d7d,http://www.w3.org/2004/02/skos/core#exactMatch
0152,0116,many-to-one correspondence,0c41e3d2-4f76-4b1e-83b9-27cb03bf9179,http://www.w3.org/2004/02/skos/core#broadMatch
0159,0111,many-to-many correspondence,a0238b07-f3c6-4a1e-9a13-785093bee8e0,http://www.w3.org/2004/02/skos/core#relatedMatch
0159,0115,one-to-many correspondence,7fd9f410-0e63-4a4d-859c-bb8f5db9e85e,http://www.w3.org/2004/02/skos/core#narrowMatch
0159,0116,many-to-many correspondence,0ef3cbe8-64f0-4391-a460-0585f1912e52,http://www.w3.org/2004/02/skos/core#relatedMatch
0159,0119,many-to-many correspondence,e43d0201-416c-4582-a728-1cbee8be7d08,http://www.w3.org/2004/02/skos/core#relatedMatch
0159,0127,one-to-many correspondence,c1bd487d-1be8-4887-9220-f664c92aec57,http://www.w3.org/2004/02/skos/core#narrowMatch
0159,0128,many-to-many correspondence,6a61420e-5909-4129-9edb-22d708806580,http://www.w3.org/2004/02/skos/core#relatedMatch
0159,0129,many-to-many correspondence,2d3d9e12-2938-4a6e-8d01-d73a2da643f9,http://www.w3.org/2004/02/skos/core#relatedMatch
0160,0141,many-to-one correspondence,e755de8c-586d-46e4-bcd2-ffa852db66a7,http://www.w3.org/2004/02/skos/core#broadMatch
0171,0146,many-to-one correspondence,447fc3be-2b33-4bc7-b5a4-d6608b2c5f4d,http://www.w3.org/2004/02/skos/core#broadMatch
0172,0146,many-to-one correspondence,c766bede-382b-4269-bc10-edae4ff8101b,http://www.w3.org/2004/02/skos/core#broadMatch
0180,0149,many-to-one correspondence,ba50ac72-fd86-4a76-a1d7-49cefaef22af,http://www.w3.org/2004/02/skos/core#broadMatch
0191,0142,many-to-many correspondence,52a8f38b-6c64-4928-a73d-ac60b7d8ad27,http://www.w3.org/2004/02/skos/core#relatedMatch
0191,0162,many-to-many correspondence,beccd07b-4441-4285-8f72-3caca231bc80,http://www.w3.org/2004/02/skos/core#relatedMatch
0192,0145,one-to-one correspondence,27a6806e-b557-46ac-852f-ec17d9e63f58,http://www.w3.org/2004/02/skos/core#exactMatch
0193,0149,many-to-one correspondence,5464b45f-a832-483c-8580-38c3a88f0fe4,http://www.w3.org/2004/02/skos/core#broadMatch
0199,0142,many-to-many correspondence,faa454b2-20dc-42a0-8f18-a336c3c81b9d,http://www.w3.org/2004/02/skos/core#relatedMatch
0199,0143,one-to-many correspondence,4475b61b-4aef-4f6d-a994-c037d2d316a1,http://www.w3.org/2004/02/skos/core#narrowMatch
