flowobject_from,flowobject_to,classification_from,classification_to,comment,prefixed_id,skos_uri
C_FO_OTHE,C_COMF,bonsai,hexio_v_3_3_18,many-to-one correspondence,fd7b2c95-690d-4dc0-a0c8-d2b652fb7851,http://www.w3.org/2004/02/skos/core#broadMatch
C_INCF,C_INCF,bonsai,hexio_v_3_3_18,many-to-one correspondence,9bf71f8f-0401-4ccf-a8ad-a5133b2db5fc,http://www.w3.org/2004/02/skos/core#broadMatch
C_LANF,C_LANF,bonsai,hexio_v_3_3_18,one-to-one correspondence,a459024d-1fa7-43b1-a864-02e788051ae3,http://www.w3.org/2004/02/skos/core#exactMatch
C_FOOD_w_water,C_WASF,bonsai,hexio_v_3_3_18,many-to-one correspondence,5578a3a0-e717-43a6-a165-42c079cf0015,http://www.w3.org/2004/02/skos/core#broadMatch
C_MANC,C_MANC,bonsai,hexio_v_3_3_18,many-to-one correspondence,3012addf-ba8c-43fd-9ed7-28448c698e7a,http://www.w3.org/2004/02/skos/core#broadMatch
C_TE_INCI,C_INCT,bonsai,hexio_v_3_3_18,many-to-one correspondence,22f5c19b-b8db-40e2-a57f-7e89e99a8804,http://www.w3.org/2004/02/skos/core#broadMatch
C_TE_LAND,C_LANT,bonsai,hexio_v_3_3_18,one-to-one correspondence,7e7b9c63-eb9b-4cd7-a32c-a43297e65a4b,http://www.w3.org/2004/02/skos/core#exactMatch
C_WO_OTHE,C_COMW,bonsai,hexio_v_3_3_18,many-to-one correspondence,2c71377b-1cf6-4cda-adce-4edcd8720ac2,http://www.w3.org/2004/02/skos/core#broadMatch
C_INCW,C_INCW,bonsai,hexio_v_3_3_18,many-to-one correspondence,4b024c16-8e8f-4326-a94c-89cf5c102ffe,http://www.w3.org/2004/02/skos/core#broadMatch
C_LANW,C_LANW,bonsai,hexio_v_3_3_18,one-to-one correspondence,e878be5c-0724-41a1-8de5-b965014e0a22,http://www.w3.org/2004/02/skos/core#exactMatch
C_WOOW,C_WOOW,bonsai,hexio_v_3_3_18,one-to-one correspondence,98da02a6-5fc2-4822-8524-366cb4c09785,http://www.w3.org/2004/02/skos/core#exactMatch
C_PA_OTHE,C_COMW,bonsai,hexio_v_3_3_18,many-to-one correspondence,de09bf02-b709-4da1-be79-458939a7511e,http://www.w3.org/2004/02/skos/core#broadMatch
C_INCP,C_INCP,bonsai,hexio_v_3_3_18,many-to-one correspondence,0f6d4b70-52b5-4052-bb1a-a7ed306d12d5,http://www.w3.org/2004/02/skos/core#broadMatch
C_LANP,C_LANP,bonsai,hexio_v_3_3_18,one-to-one correspondence,37f041ad-d167-41af-b1a3-aaa69682a421,http://www.w3.org/2004/02/skos/core#exactMatch
C_PAPR,C_PAPR,bonsai,hexio_v_3_3_18,one-to-one correspondence,ab6d5f27-48d6-4eef-bad0-0f2d8fa19f4c,http://www.w3.org/2004/02/skos/core#exactMatch
C_INCL,C_INCL,bonsai,hexio_v_3_3_18,many-to-one correspondence,2f2ec7c1-fc33-47a1-87f6-774b3c5cb44f,http://www.w3.org/2004/02/skos/core#broadMatch
C_LANL,C_LANL,bonsai,hexio_v_3_3_18,one-to-one correspondence,2f67a2bd-6a18-47d1-8f7e-18bffcfc97c7,http://www.w3.org/2004/02/skos/core#exactMatch
C_PLAW,C_PLAW,bonsai,hexio_v_3_3_18,one-to-one correspondence,9f5d2741-735f-44c7-aaee-257abf210ba7,http://www.w3.org/2004/02/skos/core#exactMatch
C_GLAS_reuse,C_BOTW,bonsai,hexio_v_3_3_18,one-to-one correspondence,be6bc89c-1415-4f6d-9ad4-538ff785b3d0,http://www.w3.org/2004/02/skos/core#exactMatch
C_GLAW,C_GLAW,bonsai,hexio_v_3_3_18,one-to-one correspondence,75066860-ded7-47de-b16b-00a7b113f96e,http://www.w3.org/2004/02/skos/core#exactMatch
C_GL_INCI,C_INCM,bonsai,hexio_v_3_3_18,many-to-one correspondence,779c48ff-7013-40d6-b53e-815e8c5267b9,http://www.w3.org/2004/02/skos/core#broadMatch
C_GL_LAND,C_LANI,bonsai,hexio_v_3_3_18,many-to-one correspondence,5a62cd39-3890-489c-ab42-46e399fc9066,http://www.w3.org/2004/02/skos/core#broadMatch
C_ASHW,C_ASHW,bonsai,hexio_v_3_3_18,one-to-one correspondence,bc0039ef-6205-4366-b7a8-119dafebf914,http://www.w3.org/2004/02/skos/core#exactMatch
C_AS_LAND,C_LANI,bonsai,hexio_v_3_3_18,many-to-one correspondence,a71f2af5-d691-4f6a-addb-1a9df51e6f66,http://www.w3.org/2004/02/skos/core#broadMatch
C_ST_INCI,C_INCM,bonsai,hexio_v_3_3_18,many-to-one correspondence,8900a4da-02db-4c85-bb6d-aeaa274c5089,http://www.w3.org/2004/02/skos/core#broadMatch
C_ST_LAND,C_LANI,bonsai,hexio_v_3_3_18,many-to-one correspondence,db2942f6-1fb1-4d49-9f71-e0b4ac521243,http://www.w3.org/2004/02/skos/core#broadMatch
C_STEW,C_STEW,bonsai,hexio_v_3_3_18,one-to-one correspondence,8c7a49b7-506e-4ba0-bc05-e4a384ae0512,http://www.w3.org/2004/02/skos/core#exactMatch
C_PM_INCI,C_INCM,bonsai,hexio_v_3_3_18,many-to-one correspondence,78a97c67-de35-4ebd-aea0-cf837616eac6,http://www.w3.org/2004/02/skos/core#broadMatch
C_PM_LAND,C_LANI,bonsai,hexio_v_3_3_18,many-to-one correspondence,20ec7e2e-dc62-4de1-ada6-08013660de7d,http://www.w3.org/2004/02/skos/core#broadMatch
C_PREW,C_PREW,bonsai,hexio_v_3_3_18,one-to-one correspondence,87eed745-00c9-49a8-bad0-cdd76c899798,http://www.w3.org/2004/02/skos/core#exactMatch
C_ALUW,C_ALUW,bonsai,hexio_v_3_3_18,one-to-one correspondence,1b585521-8694-4667-8ed0-3184b2577aa4,http://www.w3.org/2004/02/skos/core#exactMatch
C_AL_LAND,C_INCM,bonsai,hexio_v_3_3_18,many-to-one correspondence,693c4dce-d91c-4ee2-905c-318930a892a0,http://www.w3.org/2004/02/skos/core#broadMatch
C_AL_INCI,C_LANI,bonsai,hexio_v_3_3_18,many-to-one correspondence,5ec04214-e346-4829-8dfa-5013e39d0692,http://www.w3.org/2004/02/skos/core#broadMatch
C_LZT_INCI,C_INCM,bonsai,hexio_v_3_3_18,many-to-one correspondence,f92c144f-2709-4f71-826c-39943c74cc9c,http://www.w3.org/2004/02/skos/core#broadMatch
C_LZT_LAND,C_LANI,bonsai,hexio_v_3_3_18,many-to-one correspondence,2bd5c50b-dc4f-46c7-89b7-acd3be5ab44c,http://www.w3.org/2004/02/skos/core#broadMatch
C_LZTW,C_LZTW,bonsai,hexio_v_3_3_18,one-to-one correspondence,6feca378-5b62-4a17-a36c-ca77f872cc85,http://www.w3.org/2004/02/skos/core#exactMatch
C_COPW,C_COPW,bonsai,hexio_v_3_3_18,one-to-one correspondence,a4827e81-6d28-4c38-a332-69e286840b1d,http://www.w3.org/2004/02/skos/core#exactMatch
C_CU_INCI,C_INCM,bonsai,hexio_v_3_3_18,many-to-one correspondence,07af6103-86f9-4019-8d01-01932d23fc14,http://www.w3.org/2004/02/skos/core#broadMatch
C_CU_LAND,C_LANI,bonsai,hexio_v_3_3_18,many-to-one correspondence,b66e1462-7db3-498c-b29f-d10938b9cd9b,http://www.w3.org/2004/02/skos/core#broadMatch
C_ONF_INCI,C_INCM,bonsai,hexio_v_3_3_18,many-to-one correspondence,6c1e00b8-eb38-4656-bad5-f534a584be9d,http://www.w3.org/2004/02/skos/core#broadMatch
C_ONF_LAND,C_LANI,bonsai,hexio_v_3_3_18,many-to-one correspondence,364242d5-cf1c-4e89-991e-ba1a5d3a4281,http://www.w3.org/2004/02/skos/core#broadMatch
C_ONFW,C_ONFW,bonsai,hexio_v_3_3_18,one-to-one correspondence,e099e2a4-e2e2-4e28-87f6-e6f5c66216cc,http://www.w3.org/2004/02/skos/core#exactMatch
C_CONW,C_CONW,bonsai,hexio_v_3_3_18,one-to-one correspondence,823398ec-b3fc-4f98-9275-a678423edf51,http://www.w3.org/2004/02/skos/core#exactMatch
C_CO_INCI,C_INCM,bonsai,hexio_v_3_3_18,many-to-one correspondence,951fbb55-61b7-4872-a835-be92ee386180,http://www.w3.org/2004/02/skos/core#broadMatch
C_CO_LAND,C_LANI,bonsai,hexio_v_3_3_18,many-to-one correspondence,a2820b63-ff0b-40f1-8ada-f03b5d6ecc85,http://www.w3.org/2004/02/skos/core#broadMatch
C_HA_INCI,C_INCO,bonsai,hexio_v_3_3_18,many-to-one correspondence,ba2031ca-4585-4d58-90be-915fe63dee16,http://www.w3.org/2004/02/skos/core#broadMatch
C_HA_LAND,C_LANI,bonsai,hexio_v_3_3_18,many-to-one correspondence,9887d1b7-24c7-487c-8cb4-cf6163840bf7,http://www.w3.org/2004/02/skos/core#broadMatch
C_SE_biog,C_BIOS,bonsai,hexio_v_3_3_18,many-to-one correspondence,473eedfa-4eff-4589-8a62-f557d726df61,http://www.w3.org/2004/02/skos/core#broadMatch
C_SE_INCI,C_INCM,bonsai,hexio_v_3_3_18,many-to-one correspondence,5de5b2a0-c23c-4a1d-8d8b-47662c82fea4,http://www.w3.org/2004/02/skos/core#broadMatch
C_SE_LAND,C_LANI,bonsai,hexio_v_3_3_18,many-to-one correspondence,f1b1ee66-23e2-47a2-811d-a0d7c71e40e3,http://www.w3.org/2004/02/skos/core#broadMatch
C_SE_wwater,C_WASO,bonsai,hexio_v_3_3_18,many-to-one correspondence,21612e45-b36f-412b-a4ad-5ae0dd0ab341,http://www.w3.org/2004/02/skos/core#broadMatch
C_Almod,C_OFOD,bonsai,hexio_v_3_3_18,many-to-one correspondence,0593687d-c25e-4d4a-8dd3-2dcf91e55524,http://www.w3.org/2004/02/skos/core#broadMatch
C_Anim_ofat,C_POME,bonsai,hexio_v_3_3_18,many-to-one correspondence,44a7a2b9-d2bc-49ca-8edf-c0a506631d1d,http://www.w3.org/2004/02/skos/core#broadMatch
C_Appls,C_FVEG,bonsai,hexio_v_3_3_18,many-to-one correspondence,a72a7a67-5380-4ad6-b698-e7284375115a,http://www.w3.org/2004/02/skos/core#broadMatch
C_Apris,C_FVEG,bonsai,hexio_v_3_3_18,many-to-one correspondence,8a5822bf-0dcd-4af4-87c5-7ee58a4bab33,http://www.w3.org/2004/02/skos/core#broadMatch
C_Aspas,C_FVEG,bonsai,hexio_v_3_3_18,many-to-one correspondence,95a561e0-68ad-47bf-812e-a7947531867a,http://www.w3.org/2004/02/skos/core#broadMatch
C_Barly,C_OCER,bonsai,hexio_v_3_3_18,many-to-one correspondence,876fde71-7ab3-4eb2-ad76-ec19d75449ef,http://www.w3.org/2004/02/skos/core#broadMatch
C_Barld,C_OFOD,bonsai,hexio_v_3_3_18,many-to-one correspondence,674adc4b-e04c-483d-ab5c-bc5fae122b62,http://www.w3.org/2004/02/skos/core#broadMatch
C_Barlt,C_OFOD,bonsai,hexio_v_3_3_18,many-to-one correspondence,326fa48d-2ea2-4a6a-9e7f-4212aa1b6b51,http://www.w3.org/2004/02/skos/core#broadMatch
C_Beann,C_FVEG,bonsai,hexio_v_3_3_18,many-to-one correspondence,1db59072-aaaa-428c-8eac-1f161e65e1f3,http://www.w3.org/2004/02/skos/core#broadMatch
C_Beer_barl,C_BEVR,bonsai,hexio_v_3_3_18,many-to-one correspondence,f2d53d0f-ae11-494f-ba34-091af4af2854,http://www.w3.org/2004/02/skos/core#broadMatch
C_Berrs,C_FVEG,bonsai,hexio_v_3_3_18,many-to-one correspondence,0fc33327-8c9c-41bb-925b-ab451a929644,http://www.w3.org/2004/02/skos/core#broadMatch
C_Bev_dstl,C_BEVR,bonsai,hexio_v_3_3_18,many-to-one correspondence,fc6dd876-675b-42b0-b70f-74ae48085842,http://www.w3.org/2004/02/skos/core#broadMatch
C_Bran_ bar,C_OFOD,bonsai,hexio_v_3_3_18,many-to-one correspondence,9baed8fe-d052-4595-bc4f-882e7a40fb0f,http://www.w3.org/2004/02/skos/core#broadMatch
C_Bran_ cer,C_OFOD,bonsai,hexio_v_3_3_18,many-to-one correspondence,1dd31d61-36ab-4ab0-ae0c-c4478477c4db,http://www.w3.org/2004/02/skos/core#broadMatch
C_Bran_ mai,C_OFOD,bonsai,hexio_v_3_3_18,many-to-one correspondence,97c19a73-7a70-4486-9514-61401e402106,http://www.w3.org/2004/02/skos/core#broadMatch
C_Bran_ oat,C_OFOD,bonsai,hexio_v_3_3_18,many-to-one correspondence,32da1cab-d86b-406e-8c54-8172e0becc8a,http://www.w3.org/2004/02/skos/core#broadMatch
C_Bran_ pul,C_OFOD,bonsai,hexio_v_3_3_18,many-to-one correspondence,a89b1c31-d33a-4d1c-941f-28cc35eacba8,http://www.w3.org/2004/02/skos/core#broadMatch
C_Bran_ ric,C_RICE,bonsai,hexio_v_3_3_18,many-to-one correspondence,eeaae5ef-c141-4101-9211-b975b6e56d24,http://www.w3.org/2004/02/skos/core#broadMatch
C_Bran_ rye,C_OFOD,bonsai,hexio_v_3_3_18,many-to-one correspondence,ce515f51-43ff-45af-a0bd-8c5e9f2eda6d,http://www.w3.org/2004/02/skos/core#broadMatch
C_Bran_ whe,C_OFOD,bonsai,hexio_v_3_3_18,many-to-one correspondence,b52883ba-0245-493b-b40f-87d67649fedf,http://www.w3.org/2004/02/skos/core#broadMatch
C_Broay,C_FVEG,bonsai,hexio_v_3_3_18,many-to-one correspondence,4e103d56-ea4d-4525-bda1-292bcea49f13,http://www.w3.org/2004/02/skos/core#broadMatch
C_Butt_cow,C_DAIR,bonsai,hexio_v_3_3_18,many-to-one correspondence,99e6348b-66a9-46ea-9944-8c13509987b3,http://www.w3.org/2004/02/skos/core#broadMatch
