Wl (nm),  MAC (m2 g-1)
350.000,  0.26542
351.000,  0.25293
352.000,  0.24101
353.000,  0.22964
354.000,  0.21883
355.000,  0.20856
356.000,  0.19881
357.000,  0.18955
358.000,  0.18072
359.000,  0.17233
360.000,  0.16436
361.000,  0.15681
362.000,  0.14962
363.000,  0.14278
364.000,  0.13633
365.000,  0.13021
366.000,  0.12438
367.000,  0.11882
368.000,  0.11354
369.000,  0.10856
370.000,  0.10383
371.000,  0.09935
372.000,  0.09509
373.000,  0.09103
374.000,  0.08718
375.000,  0.08354
376.000,  0.08008
377.000,  0.07678
378.000,  0.07365
379.000,  0.07072
380.000,  0.06792
381.000,  0.06524
382.000,  0.06269
383.000,  0.06027
384.000,  0.05798
385.000,  0.05581
386.000,  0.05375
387.000,  0.05178
388.000,  0.04990
389.000,  0.04811
390.000,  0.04643
391.000,  0.04482
392.000,  0.04327
393.000,  0.04180
394.000,  0.04043
395.000,  0.03911
396.000,  0.03785
397.000,  0.03663
398.000,  0.03547
399.000,  0.03438
400.000,  0.03333
401.000,  0.03234
402.000,  0.03139
403.000,  0.03047
404.000,  0.02959
405.000,  0.02875
406.000,  0.02796
407.000,  0.02720
408.000,  0.02646
409.000,  0.02576
410.000,  0.02509
411.000,  0.02445
412.000,  0.02383
413.000,  0.02323
414.000,  0.02266
415.000,  0.02211
416.000,  0.02158
417.000,  0.02108
418.000,  0.02060
419.000,  0.02013
420.000,  0.01967
421.000,  0.01923
422.000,  0.01882
423.000,  0.01842
424.000,  0.01802
425.000,  0.01764
426.000,  0.01728
427.000,  0.01693
428.000,  0.01659
429.000,  0.01626
430.000,  0.01594
431.000,  0.01563
432.000,  0.01533
433.000,  0.01504
434.000,  0.01476
435.000,  0.01449
436.000,  0.01422
437.000,  0.01396
438.000,  0.01371
439.000,  0.01347
440.000,  0.01324
441.000,  0.01300
442.000,  0.01278
443.000,  0.01256
444.000,  0.01236
445.000,  0.01215
446.000,  0.01195
447.000,  0.01175
448.000,  0.01156
449.000,  0.01137
450.000,  0.01119
451.000,  0.01101
452.000,  0.01084
453.000,  0.01067
454.000,  0.01050
455.000,  0.01034
456.000,  0.01018
457.000,  0.01003
458.000,  0.00988
459.000,  0.00973
460.000,  0.00958
461.000,  0.00944
462.000,  0.00931
463.000,  0.00917
464.000,  0.00904
465.000,  0.00890
466.000,  0.00877
467.000,  0.00865
468.000,  0.00852
469.000,  0.00840
470.000,  0.00829
471.000,  0.00817
472.000,  0.00806
473.000,  0.00794
474.000,  0.00783
475.000,  0.00773
476.000,  0.00762
477.000,  0.00751
478.000,  0.00741
479.000,  0.00731
480.000,  0.00721
481.000,  0.00712
482.000,  0.00702
483.000,  0.00693
484.000,  0.00683
485.000,  0.00674
486.000,  0.00665
487.000,  0.00656
488.000,  0.00648
