base_model,lora,number_of_loras,total_params,avg_params,total_settings,total_witness,total_prove,avg_settings,avg_witness,avg_prove,total_verify,avg_verify
distilgpt2,q1e123/peft-starcoder-lora-a100,24,589824,24576.0,911.9965324401855,300.65134477615356,759.3326406478882,37.999855518341064,12.527139365673065,31.638860026995342,16.558465719223022,0.6899360716342926
openai-community/gpt2,palsp/gpt2-lora,48,2359296,49152.0,2092.1260011196136,757.1034967899323,1675.57675075531,43.585958356658615,15.772989516456922,34.90784897406896,32.793256759643555,0.6831928491592407
openai-community/gpt2,fzzhang/gpt2_GSM8K_lora_5e5,48,2359296,49152.0,2029.825602054596,718.8204565048218,1653.5120491981506,42.28803337613741,14.975426177183786,34.448167691628136,32.82728171348572,0.6839017023642858
meta-llama/Llama-3.2-1B,Chryslerx10/Llama-3.2-1B-finetuned-generalQA-peft-4bit,32,851968,26624.0,1189.013362646103,396.44260025024414,991.9255828857422,37.156667582690716,12.38883125782013,30.997674465179443,24.913888454437256,0.7785590142011642
meta-llama/Llama-3.3-70B-Instruct,Ahatsham/Output_llama70B_70-15-15,80,11796480,147456.0,4392.864507198334,1439.5876035690308,3749.7557678222656,54.910806339979175,17.994845044612884,46.87194709777832,123.11377263069153,1.538922157883644
meta-llama/Llama-3.1-8B-Instruct,vtriple/Llama-3.1-8B-yara,32,5242880,163840.0,1836.8324217796326,620.3624212741852,1527.3988842964172,57.40101318061352,19.386325664818287,47.73121513426304,35.794270038604736,1.118570938706398
mistralai/Mixtral-8x7B-Instruct-v0.1,ruslanmv/Medical-Mixtral-7B-v1.5k,32,10485760,327680.0,2754.9131994247437,949.1038272380829,2357.6136355400085,86.09103748202324,29.65949460119009,73.67542611062527,44.29529690742493,1.384228028357029
distilgpt2,q1e123/peft-starcoder-lora-a100,24,589824,24576.0,1017.3716676235199,349.89912390708923,811.6487357616425,42.390486150979996,14.579130162795385,33.81869732340177,16.1892147064209,0.6745506127675375
openai-community/gpt2,palsp/gpt2-lora,48,2359296,49152.0,2127.538093805313,779.1685271263123,1692.9586021900177,44.32371028761069,16.23267764846484,35.2699708789587,33.522221326828,0.6983796109755834
distilgpt2,q1e123/peft-starcoder-lora-a100,24,589824,24576.0,938.8762526512146,309.7026569843292,764.5322313308716,39.11984386046728,12.904277374347052,31.855509638786316,16.264316082000732,0.6776798367500305
