activitytype_from,flowobject_from,activitytype_to,flowobject_to,classification_from,classification_to,comment,skos_uri,prefixed_id
A_ANTH,C_ANTH,01,0110,bonsai,undata_energy_stats,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,90e51e56-efe4-4437-a418-301823b16878
A_COKC,C_COKC,01,0121,bonsai,undata_energy_stats,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,74726f0b-bd78-40cc-983f-5a146c2796e3
A_OTBC,C_OTBC,01,0129,bonsai,undata_energy_stats,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,4493f0c3-ab68-47c6-898e-e11bd4b50ecc
A_SUBC,C_SUBC,01,0210,bonsai,undata_energy_stats,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,dd952895-4171-4d04-8ad3-2063ed617195
A_LIBC,C_LIBC,01,0220,bonsai,undata_energy_stats,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,e3f7c26e-997d-4a68-80c6-ba65b4445dc0
A_COKE,C_COKE,01,0311,bonsai,undata_energy_stats,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,5df30621-6922-4238-9543-8471b8417517
A_GCOK,C_GCOK,01,0312,bonsai,undata_energy_stats,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,7ddd7b26-d9fe-48a8-93fe-7f3e918eca02
A_PATF,C_PATF,01,0320,bonsai,undata_energy_stats,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,49d41a20-a71f-44f2-aca3-312fc18c328d
A_COOG,C_COOG,01,0350,bonsai,undata_energy_stats,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,be50d738-4f25-4c9a-ab65-d3f31261157d
A_MGWG,C_MGWG,01,0360,bonsai,undata_energy_stats,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,6b6dee68-83a3-45ab-9d5c-e8c8e61ad5d5
A_MBFG,C_MBFG,01,0371,bonsai,undata_energy_stats,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,a770c3bb-73f9-43d4-8300-3bde3c3aa4de
A_MOSG,C_MOSG,01,0379,bonsai,undata_energy_stats,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,672b04ea-2aa4-4659-a02a-fd5ef2faa5ac
A_PEAT,C_PEAT,01,1100,bonsai,undata_energy_stats,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,cff3937f-d8d9-437b-9467-4242a727c6d2
A_PEAT,C_PEAT,01,1200,bonsai,undata_energy_stats,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,500e2854-29ea-4805-9fd8-06c6e32ebd22
A_COIL,C_COIL,01,2000,bonsai,undata_energy_stats,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,377d2f35-9e69-4271-8967-d40991149dc1
A_GASL,C_GASL,01,3000,bonsai,undata_energy_stats,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,0dce4fea-4093-4b5e-881e-b2862d46cf41
A_COIL,C_COIL,01,4100,bonsai,undata_energy_stats,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,adeef17f-761c-4409-9125-4c213d6db49e
A_GASL,C_GASL,01,4200,bonsai,undata_energy_stats,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch,78bd79c0-1ee0-41eb-aafb-21a7e0b66905
A_REFF,C_REFF,01,4300,bonsai,undata_energy_stats,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,e5eb62f6-d085-4c54-a438-4764b7a793d1
A_ADDC,C_ADDC,01,4400,bonsai,undata_energy_stats,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,64b19e57-65cf-43bd-ba6e-0c8c02c4fd82
A_OGPL,C_OGPL,01,4500,bonsai,undata_energy_stats,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch,e80a6c67-762a-4d62-9343-70603fe9b180
