name,schema_name,location,url,description,comment
tree_bonsai,ActivityType,tree_bonsai.csv,,"Bonsai master classification for activities","own work"
tree_hexio_v_3_3_18_fd,ActivityType,tree_hexio_v_3_3_18_fd.csv,"https://zenodo.org/record/7244919","EXIOABSE HYBRID v3.3.18 - 2011 final demand categories",
tree_iea_energy_balance,ActivityType,tree_iea_energy_balance.csv,"https://wds.iea.org/wds/pdf/worldbal_documentation.pdf","classification for IEA World Energy Balance activities",
tree_isic_rev4,ActivityType,tree_isic_rev4.csv,"https://unstats.un.org/unsd/classifications/isic/revision","International Standard Industrial Classification of All Economic Activities (ISIC) Rev. 4 ",
tree_nace_rev2,ActivityType,tree_nace_rev2.csv,"https://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=LST_CLS_DLD&StrNom=NACE_REV2&StrLanguage#","Statistical Classification of Economic Activities in the European Community, Rev. 2 (2008) (NACE Rev. 2)",
tree_undata_energy_stats,ActivityType,tree_undata_energy_stats.csv,"https://unstats.un.org/unsd/energystats/api/; https://unstats.un.org/unsd/energystats/pubs/balance/2021/03.pdf","classification for Energy Balance DataFlow activities (DF_UNDATA_ENERGY)",
dim_ec_2008_98,ActivityType,dim_ec_2008_98.csv,"https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32008L0098&from=EN","DIRECTIVE 2008/98/EC OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 19 November 2008 on waste and repealing certain Directives",
dim_level,Level,dim_level.csv,,"levels of classification codes","own work"
conc_ec_2008_98_nace_rev2,ActivityTypeCorrespondence,conc_ec_2008_98_nace_rev2.csv,,"concordance between EC_2008-98 and NACE_Rev2","own work"
conc_isic_rev4_nace_rev2,ActivityTypeCorrespondence,conc_isic_rev4_nace_rev2.csv,"https://unstats.un.org/unsd/classifications/Econ/isic","concordance between ISIC_Rev4 and NACE_Rev2",
