tree_isic_3_1,tree_isic_rev4,comment,prefixed_id,skos_uri
0111,0111,one-to-many correspondence,604be733-52a5-4c88-ab6e-93550aaf440d,http://www.w3.org/2004/02/skos/core#narrowMatch
0111,0112,one-to-many correspondence,543b8d85-6299-421d-9353-ae6264fe9552,http://www.w3.org/2004/02/skos/core#narrowMatch
0111,0113,many-to-many correspondence,d34f1951-2441-412d-bfe0-aabb534cff7a,http://www.w3.org/2004/02/skos/core#relatedMatch
0111,0114,one-to-many correspondence,b377e13c-0f29-446b-9e6b-7fd9cd1993c3,http://www.w3.org/2004/02/skos/core#narrowMatch
0111,0115,one-to-many correspondence,04459a86-c32f-40b7-a12f-9d063fa36821,http://www.w3.org/2004/02/skos/core#narrowMatch
0111,0116,one-to-many correspondence,568dfcaf-ecec-4ae0-96c8-4eaba7ed3e82,http://www.w3.org/2004/02/skos/core#narrowMatch
0111,0119,many-to-many correspondence,db4e2982-7adc-4e76-a0d6-4e73c49e9921,http://www.w3.org/2004/02/skos/core#relatedMatch
0111,0126,many-to-many correspondence,0d7bcd3b-f9ea-4522-bca4-a216487cd149,http://www.w3.org/2004/02/skos/core#relatedMatch
0111,0128,many-to-many correspondence,0388d8e4-8253-4479-bff1-6e1f8a82ef53,http://www.w3.org/2004/02/skos/core#relatedMatch
0111,0129,many-to-many correspondence,9f5b76f4-aeeb-4779-bbb7-6a697ef29330,http://www.w3.org/2004/02/skos/core#relatedMatch
0111,0163,many-to-many correspondence,7841a774-bd50-4fca-bf1f-fba684f3a0a6,http://www.w3.org/2004/02/skos/core#relatedMatch
0112,0113,many-to-many correspondence,8963d116-034a-41d4-9455-5dd0fef28abc,http://www.w3.org/2004/02/skos/core#relatedMatch
0112,0119,many-to-many correspondence,2892bd1a-f804-42c2-9e14-2f6d5e57b81e,http://www.w3.org/2004/02/skos/core#relatedMatch
0112,0125,many-to-many correspondence,9c4d694b-55b5-460c-b076-04e8a260d66a,http://www.w3.org/2004/02/skos/core#relatedMatch
0112,0128,many-to-many correspondence,2da22ba4-aadc-4efc-bd30-4f3e56c72fc8,http://www.w3.org/2004/02/skos/core#relatedMatch
0112,0129,many-to-many correspondence,b4bc01c2-a90e-46cf-a663-101ebe5b3067,http://www.w3.org/2004/02/skos/core#relatedMatch
0112,0130,many-to-many correspondence,0dece44f-226d-4583-9d58-905d62821bec,http://www.w3.org/2004/02/skos/core#relatedMatch
0112,0230,many-to-many correspondence,00e19f57-295d-4ae4-87dc-172ca8e56bb3,http://www.w3.org/2004/02/skos/core#relatedMatch
0113,0121,one-to-many correspondence,98a72d3a-aec0-4837-ac8f-85915fb79c4b,http://www.w3.org/2004/02/skos/core#narrowMatch
0113,0122,one-to-many correspondence,dec732b4-9b58-4645-adf3-b4e162c71b19,http://www.w3.org/2004/02/skos/core#narrowMatch
0113,0123,one-to-many correspondence,d3e9ff36-8303-4290-a41f-673a06a5fd7f,http://www.w3.org/2004/02/skos/core#narrowMatch
0113,0124,one-to-many correspondence,f941b896-1658-4d25-916e-52d03727d7e8,http://www.w3.org/2004/02/skos/core#narrowMatch
0113,0125,many-to-many correspondence,e3370652-f27d-40d3-8cfc-fc14694e0419,http://www.w3.org/2004/02/skos/core#relatedMatch
0113,0126,many-to-many correspondence,be6a9012-4a9b-41d7-9dc7-5dd101e034ea,http://www.w3.org/2004/02/skos/core#relatedMatch
0113,0127,one-to-many correspondence,78b2c846-4398-441b-a57c-0cec400da365,http://www.w3.org/2004/02/skos/core#narrowMatch
0113,0128,many-to-many correspondence,e3118890-9b9c-4b26-8164-8933ebdf7d21,http://www.w3.org/2004/02/skos/core#relatedMatch
0113,0230,many-to-many correspondence,017fb09e-adf2-4e00-8a22-3cab9324815e,http://www.w3.org/2004/02/skos/core#relatedMatch
0113,1102,many-to-many correspondence,912ecf99-9384-4051-9c27-e555de771209,http://www.w3.org/2004/02/skos/core#relatedMatch
0121,0141,one-to-many correspondence,b7fb33d6-98f2-4991-93c0-242d31d50f7b,http://www.w3.org/2004/02/skos/core#narrowMatch
0121,0142,one-to-many correspondence,b99b2659-e02b-42f2-a5de-a75864c85699,http://www.w3.org/2004/02/skos/core#narrowMatch
0121,0144,one-to-many correspondence,64f2e602-b2b8-46ff-817b-62bbcc69fff1,http://www.w3.org/2004/02/skos/core#narrowMatch
0122,0143,one-to-many correspondence,5fbf70a8-735e-4192-addb-2806f362db10,http://www.w3.org/2004/02/skos/core#narrowMatch
0122,0145,one-to-many correspondence,20f0334b-3d7b-483b-9188-896bacf14b3d,http://www.w3.org/2004/02/skos/core#narrowMatch
0122,0146,one-to-many correspondence,9c0f9a6f-6fc4-4ff7-9a0c-7c3195d01e62,http://www.w3.org/2004/02/skos/core#narrowMatch
0122,0149,one-to-many correspondence,b71fdf0f-5160-40c4-a5b5-528079be9c7f,http://www.w3.org/2004/02/skos/core#narrowMatch
0122,0321,many-to-many correspondence,fb79e31e-1a06-4251-b6a3-57d3a31f1b92,http://www.w3.org/2004/02/skos/core#relatedMatch
0122,0322,many-to-many correspondence,cc837d6d-9b9a-48c7-89b1-c4b91e73e62c,http://www.w3.org/2004/02/skos/core#relatedMatch
0130,0150,one-to-one correspondence,fd4d5f22-f850-4dc9-ac04-f806c242e329,http://www.w3.org/2004/02/skos/core#exactMatch
